"complications.hospitals","MORT_30_STK","MORT_30_STK_Standard.Error","COMP_HIP_KNEE","COMP_HIP_KNEE_Standard.Error","MORT_30_CABG","MORT_30_CABG_Standard.Error","PSI_10_POST_KIDNEY","PSI_10_POST_KIDNEY_Standard.Error","PSI_12_POSTOP_PULMEMB_DVT","PSI_12_POSTOP_PULMEMB_DVT_Standard.Error","PSI_14_POSTOP_DEHIS","PSI_14_POSTOP_DEHIS_Standard.Error","PSI_4_SURG_COMP","PSI_4_SURG_COMP_Standard.Error","PSI_6_IAT_PTX","PSI_6_IAT_PTX_Standard.Error","PSI_90_SAFETY","PSI_90_SAFETY_Standard.Error"
40014,"15.1",1.88775510204082,"2.1",0.612244897959184,NA,NA,NA,NA,"2.90",1.38265306122449,"2.09",1.13265306122449,"135.28",21.9591836734694,"0.44",0.137755102040816,"0.90",0.193877551020408
40015,"15.3",3.01020408163265,NA,NA,NA,NA,NA,NA,"4.24",1.82142857142857,NA,NA,NA,NA,"0.39",0.153061224489796,"0.99",0.209183673469388
40016,"18.5",1.73469387755102,"2.5",0.86734693877551,NA,NA,"1.41",0.408163265306122,"3.72",1.05612244897959,"1.86",1.0765306122449,"148.22",16.3214285714286,"0.51",0.13265306122449,"1.27",0.112244897959184
40017,"15.7",2.09183673469388,"2.1",0.714285714285714,NA,NA,"1.10",0.48469387755102,"3.47",1.64285714285714,"2.21",1.16836734693878,NA,NA,"0.37",0.147959183673469,"0.85",0.178571428571429
40018,NA,NA,NA,NA,NA,NA,"1.12",0.48469387755102,"4.26",1.82142857142857,NA,NA,NA,NA,"0.39",0.158163265306122,"0.96",0.204081632653061
40019,"16.6",2.80612244897959,NA,NA,NA,NA,"1.11",0.489795918367347,"4.23",1.81632653061224,NA,NA,NA,NA,"0.39",0.158163265306122,"1.14",0.204081632653061
40020,"16.6",1.68367346938775,"2.6",0.663265306122449,"4.5",1.37755102040816,"0.84",0.423469387755102,"2.68",1.16326530612245,"2.53",1.11224489795918,"151.35",18.5663265306123,"0.62",0.127551020408163,"1.37",0.11734693877551
40022,"15.9",1.98979591836735,"2.8",0.969387755102041,"6.0",2.19387755102041,"0.96",0.448979591836735,"4.05",1.35714285714286,"2.66",1.13775510204082,"144.38",20.9642857142857,"0.31",0.137755102040816,"0.73",0.142857142857143
40026,"14.4",1.73469387755102,"2.6",0.561224489795918,"4.8",2.70408163265306,"1.00",0.459183673469388,"4.30",1.16836734693878,"2.02",1.12244897959184,"130.52",20.5357142857143,"0.41",0.13265306122449,"1.18",0.13265306122449
40027,"14.7",1.98979591836735,"3.2",0.714285714285714,"3.0",0.918367346938775,"0.92",0.448979591836735,"3.38",1.31122448979592,"2.05",1.12755102040816,"160.44",20.3316326530612,"0.33",0.142857142857143,"1.15",0.142857142857143
40029,"14.0",1.83673469387755,"3.6",0.918367346938776,"4.2",2.44897959183673,"1.03",0.464285714285714,"4.00",1.4234693877551,"2.10",1.13775510204082,"151.06",22.2602040816327,"0.38",0.142857142857143,"1.03",0.153061224489796
