"complications.hospitals","MORT_30_STK","MORT_30_STK_Standard.Error","COMP_HIP_KNEE","COMP_HIP_KNEE_Standard.Error","MORT_30_CABG","MORT_30_CABG_Standard.Error","PSI_10_POST_KIDNEY","PSI_10_POST_KIDNEY_Standard.Error","PSI_12_POSTOP_PULMEMB_DVT","PSI_12_POSTOP_PULMEMB_DVT_Standard.Error","PSI_14_POSTOP_DEHIS","PSI_14_POSTOP_DEHIS_Standard.Error","PSI_4_SURG_COMP","PSI_4_SURG_COMP_Standard.Error","PSI_6_IAT_PTX","PSI_6_IAT_PTX_Standard.Error","PSI_90_SAFETY","PSI_90_SAFETY_Standard.Error"
100118,"14.4",1.68367346938775,"2.6",0.714285714285714,NA,NA,"1.09",0.479591836734694,"3.16",1.44387755102041,"2.13",1.14285714285714,"130.97",22.0510204081633,"0.34",0.142857142857143,"1.09",0.168367346938775
100121,"14.1",2.85714285714286,"2.8",1.07142857142857,NA,NA,"1.11",0.489795918367347,"6.53",1.71938775510204,"2.22",1.1734693877551,NA,NA,"0.38",0.153061224489796,"1.26",0.188775510204082
100122,"15.9",2.19387755102041,NA,NA,NA,NA,"1.03",0.474489795918367,"3.22",1.58673469387755,"2.19",1.16836734693878,NA,NA,"0.35",0.142857142857143,"0.88",0.168367346938776
100124,"15.0",2.6530612244898,"2.5",0.86734693877551,NA,NA,"1.32",0.48469387755102,"4.44",1.71428571428571,NA,NA,NA,NA,"0.38",0.153061224489796,"1.18",0.193877551020408
100125,"14.2",2.5,"2.8",1.02040816326531,NA,NA,"1.33",0.48469387755102,"3.57",1.66836734693878,"2.19",1.16326530612245,NA,NA,"0.37",0.147959183673469,"1.01",0.193877551020408
100126,"15.9",1.78571428571428,"1.9",0.561224489795918,NA,NA,"1.06",0.474489795918367,"5.13",1.52551020408163,"2.13",1.14285714285714,NA,NA,"0.41",0.147959183673469,"1.14",0.168367346938776
100127,"14.4",1.53061224489796,"2.5",0.408163265306122,"3.0",1.12244897959184,"1.12",0.392857142857143,"3.77",0.989795918367347,"2.50",1.10204081632653,"154.12",18.1581632653061,"0.26",0.122448979591837,"1.07",0.107142857142857
100128,"18.8",1.73469387755102,"2.2",0.459183673469388,"2.8",0.86734693877551,"1.91",0.372448979591837,"10.34",0.836734693877551,"2.31",1.06122448979592,"174.04",15.8163265306122,"0.53",0.122448979591837,"1.47",0.086734693877551
100130,NA,NA,NA,NA,NA,NA,NA,NA,"5.01",1.82142857142857,NA,NA,NA,NA,"0.39",0.153061224489796,"1.01",0.209183673469388
100131,"12.4",1.37755102040816,"3.2",1.02040816326531,"4.1",2.04081632653061,"1.22",0.469387755102041,"4.80",1.28571428571429,"2.73",1.14795918367347,"111.34",19.8622448979592,"0.35",0.127551020408163,"0.99",0.142857142857143
100132,"13.1",2.09183673469388,"2.8",1.02040816326531,NA,NA,"1.10",0.48469387755102,"4.09",1.64285714285714,"2.19",1.15816326530612,NA,NA,"0.37",0.147959183673469,"1.04",0.183673469387755
100134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.40",0.153061224489796,"1.00",0.209183673469388
100135,"17.5",1.78571428571429,"2.9",0.714285714285714,"4.3",1.27551020408163,"1.19",0.428571428571428,"2.77",1.11734693877551,"2.03",1.12244897959184,"138.70",19.9795918367347,"0.35",0.13265306122449,"0.81",0.127551020408163
100137,"13.8",2.19387755102041,"1.9",0.459183673469388,NA,NA,"1.08",0.479591836734694,"3.66",1.44897959183673,"2.17",1.15816326530612,"152.06",22.9387755102041,"0.40",0.147959183673469,"0.88",0.168367346938776
100140,"14.3",2.39795918367347,NA,NA,NA,NA,"1.08",0.479591836734694,"5.01",1.69897959183673,"2.20",1.16836734693878,NA,NA,"0.37",0.153061224489796,"0.90",0.178571428571429
100142,"15.0",2.5,"2.6",0.969387755102041,NA,NA,"1.10",0.48469387755102,"4.00",1.77040816326531,"2.22",1.16836734693878,NA,NA,"0.38",0.153061224489796,"1.15",0.183673469387755
100150,"16.2",2.3469387755102,"3.4",1.12244897959184,NA,NA,"1.11",0.48469387755102,"5.63",1.68877551020408,"3.42",1.16836734693878,NA,NA,"0.36",0.153061224489796,"0.98",0.188775510204082
100151,"14.2",1.42857142857143,"2.6",0.510204081632653,"2.5",1.02040816326531,"1.30",0.346938775510204,"5.51",0.897959183673469,"1.73",1.03571428571429,"111.86",16.5408163265306,"0.45",0.13265306122449,"1.13",0.0867346938775511
100154,"13.9",2.04081632653061,"3.0",0.969387755102041,"3.0",1.37755102040816,"1.23",0.474489795918367,"4.23",1.38265306122449,"2.11",1.14285714285714,"156.84",22.0204081632653,"0.38",0.137755102040816,"1.18",0.158163265306122
100156,"12.5",2.14285714285714,"3.2",1.12244897959184,NA,NA,"1.10",0.489795918367347,"4.89",1.6734693877551,"2.16",1.15816326530612,NA,NA,"0.35",0.147959183673469,"0.91",0.183673469387755
100157,"18.9",1.63265306122449,"3.1",0.561224489795918,"3.6",1.37755102040816,"1.05",0.433673469387755,"6.59",1,"2.79",1.05612244897959,"148.54",19.0663265306122,"0.43",0.11734693877551,"0.94",0.11734693877551
100161,"14.1",1.93877551020408,"2.7",0.86734693877551,"3.5",1.83673469387755,"1.02",0.469387755102041,"3.18",1.44897959183673,"2.18",1.15816326530612,"149.96",22.6020408163265,"0.32",0.137755102040816,"1.03",0.158163265306122
100166,"15.6",1.93877551020408,"2.4",0.510204081632653,NA,NA,"1.05",0.474489795918367,"2.52",1.29081632653061,"2.73",1.14795918367347,"142.68",24.0102040816327,"0.38",0.142857142857143,"0.78",0.142857142857143
100167,"11.4",1.98979591836735,"2.5",0.816326530612245,"3.7",1.93877551020408,"1.06",0.474489795918367,"2.80",1.48469387755102,"2.14",1.14795918367347,"134.14",23.6887755102041,"0.32",0.137755102040816,"0.93",0.163265306122449
100168,"14.1",1.1734693877551,"2.8",0.510204081632653,"2.8",1.12244897959184,"0.90",0.438775510204082,"3.59",1.03571428571429,"3.41",1.0765306122449,"115.13",17.4234693877551,"0.44",0.11734693877551,"1.98",0.11734693877551
100173,"15.6",1.68367346938775,"2.3",0.663265306122449,"3.6",1.88775510204082,"1.50",0.448979591836735,"4.70",1.22448979591837,"2.01",1.11734693877551,"171.08",19.530612244898,"0.47",0.13265306122449,"1.37",0.137755102040816
100175,"15.3",2.44897959183674,NA,NA,NA,NA,NA,NA,"4.22",1.81632653061225,NA,NA,NA,NA,"0.39",0.153061224489796,"1.00",0.204081632653061
100176,"11.9",1.68367346938775,"2.2",0.714285714285714,"3.4",0.918367346938776,"1.11",0.489795918367347,"5.34",1.30612244897959,"2.16",1.15816326530612,"115.70",21.8979591836735,"0.35",0.127551020408163,"1.02",0.188775510204082
100177,"13.2",2.04081632653061,"2.7",0.86734693877551,NA,NA,"1.05",0.474489795918367,"4.15",1.54081632653061,"2.18",1.16326530612245,NA,NA,"0.34",0.142857142857143,"0.96",0.178571428571429
100179,"12.4",1.63265306122449,"4.1",1.12244897959184,"3.2",1.27551020408163,"1.06",0.438775510204082,"2.79",1.18877551020408,"2.02",1.11734693877551,"136.32",18.2959183673469,"0.35",0.127551020408163,"1.10",0.13265306122449
100180,"13.8",2.29591836734694,"2.9",1.02040816326531,NA,NA,"1.11",0.48469387755102,"3.49",1.6530612244898,"2.18",1.15816326530612,NA,NA,"0.53",0.147959183673469,"1.23",0.183673469387755
100181,"13.1",2.04081632653061,"2.1",0.561224489795918,NA,NA,"1.10",0.479591836734694,"3.13",1.56122448979592,"2.80",1.16836734693878,NA,NA,"0.36",0.147959183673469,"0.81",0.168367346938775
100183,"13.5",2.09183673469388,"2.5",0.918367346938775,NA,NA,NA,NA,"3.53",1.65816326530612,"2.19",1.16326530612245,NA,NA,"0.36",0.147959183673469,"0.93",0.204081632653061
100187,"15.4",1.98979591836735,"2.3",0.816326530612245,"2.6",1.63265306122449,"1.12",0.48469387755102,"4.91",1.48979591836735,"2.16",1.15816326530612,"137.99",22.2244897959184,"0.32",0.137755102040816,"0.95",0.188775510204082
100189,"14.4",1.63265306122449,NA,NA,"3.3",1.53061224489796,"1.04",0.469387755102041,"3.89",1.48979591836735,"2.16",1.15816326530612,"126.29",22.719387755102,"0.37",0.137755102040816,"0.83",0.168367346938776
100191,"14.8",1.78571428571429,"2.8",0.612244897959184,"3.7",1.83673469387755,"1.41",0.469387755102041,"3.65",1.36224489795918,"2.04",1.12755102040816,"128.22",21.7244897959184,"0.55",0.137755102040816,"1.07",0.142857142857143
100200,NA,NA,"2.4",0.918367346938776,NA,NA,"1.10",0.48469387755102,"4.15",1.6530612244898,"2.21",1.1734693877551,NA,NA,"0.37",0.153061224489796,"0.94",0.188775510204082
100204,"13.8",1.27551020408163,"3.6",0.561224489795918,"5.0",1.53061224489796,"0.82",0.423469387755102,"3.48",0.948979591836735,"1.83",1.06122448979592,"147.34",20.015306122449,"0.59",0.11734693877551,"0.74",0.102040816326531
100206,"13.4",2.29591836734694,"2.6",0.918367346938776,NA,NA,"1.07",0.479591836734694,"4.11",1.64795918367347,"2.21",1.16836734693878,NA,NA,"0.48",0.153061224489796,"1.18",0.183673469387755
100209,"12.7",1.68367346938776,"3.2",0.969387755102041,NA,NA,"1.09",0.48469387755102,"3.32",1.47959183673469,"2.72",1.14795918367347,"122.84",22.1581632653061,"0.38",0.137755102040816,"1.05",0.178571428571429
100211,"15.7",3.21428571428571,NA,NA,NA,NA,"1.10",0.48469387755102,"3.77",1.71428571428571,"2.21",1.16836734693878,NA,NA,"0.37",0.153061224489796,"1.08",0.188775510204082
100212,"18.8",1.93877551020408,"2.0",0.306122448979592,"4.1",1.27551020408163,"0.97",0.454081632653061,"4.62",1.06632653061224,"2.03",1.11734693877551,"140.44",19.3163265306123,"0.32",0.13265306122449,"0.96",0.127551020408163
100213,"16.0",1.53061224489796,"2.0",0.408163265306122,"4.6",1.63265306122449,"1.12",0.448979591836735,"2.35",1.15816326530612,"2.02",1.11734693877551,"122.32",20.5918367346939,"0.31",0.13265306122449,"0.98",0.137755102040816
100217,"12.7",1.98979591836735,"3.6",0.816326530612245,NA,NA,"1.08",0.479591836734694,"4.15",1.44897959183673,"2.11",1.14795918367347,"161.58",23.25,"0.39",0.147959183673469,"1.02",0.173469387755102
100220,"15.7",1.27551020408163,"2.7",0.510204081632653,NA,NA,"1.09",0.443877551020408,"5.01",1,"2.42",1.08163265306122,"120.28",18.5408163265306,"0.39",0.122448979591837,"1.05",0.112244897959184
100223,"17.8",1.93877551020408,"2.7",0.714285714285714,"3.3",1.22448979591837,"1.31",0.454081632653061,"3.34",1.29591836734694,"2.09",1.13775510204082,"143.87",22.7857142857143,"0.44",0.13265306122449,"0.85",0.142857142857143
100224,"13.7",2.14285714285714,"2.8",0.86734693877551,NA,NA,"1.09",0.48469387755102,"4.28",1.56122448979592,"2.20",1.16836734693878,NA,NA,"0.34",0.147959183673469,"1.04",0.183673469387755
100226,"15.3",1.73469387755102,"3.7",1.02040816326531,"2.7",1.27551020408163,"1.17",0.454081632653061,"4.55",1.30612244897959,"2.07",1.12755102040816,"121.42",18.8775510204082,"0.35",0.13265306122449,"1.29",0.142857142857143
100228,"15.9",1.98979591836735,"2.4",0.969387755102041,"3.9",2.09183673469388,"1.46",0.479591836734694,"3.68",1.45408163265306,"2.12",1.14795918367347,"134.23",20.3469387755102,"0.36",0.137755102040816,"0.96",0.168367346938776
100230,"13.0",2.39795918367347,NA,NA,NA,NA,"1.09",0.48469387755102,"3.63",1.68367346938776,"2.21",1.16326530612245,NA,NA,"0.43",0.153061224489796,"0.94",0.183673469387755
100231,"13.3",1.63265306122449,"4.1",0.86734693877551,"3.6",1.78571428571429,"1.32",0.448979591836735,"3.33",1.22959183673469,"2.00",1.10714285714286,"110.83",21.4234693877551,"0.36",0.127551020408163,"0.97",0.137755102040816
100232,"12.9",2.19387755102041,"2.7",1.02040816326531,NA,NA,"1.11",0.48469387755102,"4.71",1.64285714285714,"2.20",1.16836734693878,"149.27",23.2295918367347,"0.34",0.147959183673469,"1.08",0.188775510204082
100236,"14.9",1.63265306122449,"2.1",0.408163265306122,"3.8",1.78571428571429,"1.13",0.448979591836735,"6.42",1.16326530612245,"1.94",1.09183673469388,"94.50",17.7602040816327,"0.42",0.13265306122449,"1.32",0.122448979591837
100238,"16.2",1.98979591836735,"3.0",1.02040816326531,"2.9",1.42857142857143,"1.05",0.469387755102041,"4.51",1.42857142857143,"2.14",1.14795918367347,"132.46",20.0102040816327,"0.44",0.137755102040816,"0.88",0.158163265306122
100240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.83",0.183673469387755
100242,"14.4",1.93877551020408,"2.8",0.612244897959184,NA,NA,"1.23",0.469387755102041,"4.76",1.33163265306122,"2.62",1.12244897959184,"130.17",19.969387755102,"0.41",0.137755102040816,"0.92",0.147959183673469
100243,"14.6",1.83673469387755,"2.7",0.816326530612245,"1.9",0.918367346938776,"1.16",0.459183673469388,"4.29",1.26530612244898,"2.10",1.13775510204082,"120.93",21.1122448979592,"0.48",0.13265306122449,"1.18",0.142857142857143
100244,"14.8",1.53061224489796,"3.4",0.816326530612245,NA,NA,"1.07",0.479591836734694,"5.51",1.27551020408163,"2.00",1.11224489795918,"133.08",21.6734693877551,"0.35",0.13265306122449,"0.94",0.147959183673469
100246,"14.1",1.53061224489796,"3.2",1.22448979591837,"3.9",1.47959183673469,"1.02",0.469387755102041,"4.76",1.33673469387755,"2.10",1.13775510204082,"132.91",19.8418367346939,"0.48",0.13265306122449,"1.17",0.153061224489796
100248,"16.5",1.53061224489796,"3.7",0.86734693877551,"2.7",1.73469387755102,"1.03",0.464285714285714,"3.96",1.27040816326531,"2.60",1.12244897959184,"160.20",20.7959183673469,"0.36",0.127551020408163,"0.92",0.142857142857143
100249,"17.9",2.55102040816327,"1.9",0.459183673469388,NA,NA,"1.23",0.464285714285714,"5.53",1.38265306122449,"2.72",1.14795918367347,"126.22",22.2244897959184,"0.34",0.147959183673469,"1.24",0.153061224489796
100252,"14.2",2.14285714285714,"3.6",1.1734693877551,NA,NA,"1.12",0.48469387755102,"4.37",1.69897959183673,"2.19",1.16326530612245,NA,NA,"0.36",0.147959183673469,"1.06",0.188775510204082
100253,"14.4",1.83673469387755,"2.7",0.510204081632653,NA,NA,"1.01",0.464285714285714,"2.51",1.19897959183673,"2.06",1.12244897959184,"114.98",20.9336734693877,"0.39",0.137755102040816,"0.86",0.13265306122449
100254,"14.8",2.14285714285714,"2.6",0.918367346938776,"3.3",1.93877551020408,"1.09",0.48469387755102,"3.93",1.50510204081633,"2.15",1.1530612244898,"139.14",24.1632653061225,"0.32",0.142857142857143,"0.92",0.173469387755102
100255,"15.3",2.85714285714286,"3.3",1.37755102040816,NA,NA,"1.11",0.48469387755102,"3.82",1.72959183673469,NA,NA,NA,NA,"0.37",0.153061224489796,"1.07",0.193877551020408
100256,"16.5",2.04081632653061,"1.7",0.561224489795918,"2.8",1.58163265306122,"0.99",0.459183673469388,"3.33",1.30102040816327,"3.26",1.13775510204082,"159.83",22.4132653061224,"0.47",0.13265306122449,"0.69",0.153061224489796
100258,"14.2",1.22448979591837,"1.9",0.459183673469388,"3.5",1.22448979591837,"1.12",0.48469387755102,"4.44",1.11224489795918,"2.53",1.10714285714286,"134.24",20.3622448979592,"0.31",0.122448979591837,"0.99",0.183673469387755
100259,"12.9",1.68367346938775,"2.6",0.816326530612245,NA,NA,"1.09",0.48469387755102,"4.99",1.50510204081633,"2.75",1.1530612244898,NA,NA,"0.32",0.142857142857143,"0.89",0.178571428571429
100260,"14.9",1.68367346938775,"3.0",0.459183673469388,NA,NA,"1.68",0.474489795918367,"3.60",1.28061224489796,"2.11",1.14285714285714,"136.55",22.9438775510204,"0.45",0.137755102040816,"1.12",0.153061224489796
100264,"16.3",1.83673469387755,"2.7",0.663265306122449,"3.4",1.58163265306122,"1.18",0.459183673469388,"3.72",1.18367346938776,"1.97",1.10714285714286,"156.25",20.7857142857143,"0.41",0.13265306122449,"1.02",0.13265306122449
100265,"14.2",1.42857142857143,"2.8",0.86734693877551,NA,NA,"1.02",0.469387755102041,"4.68",1.27040816326531,"2.05",1.12755102040816,"127.26",20.4030612244898,"0.39",0.137755102040816,"1.16",0.142857142857143
100266,"11.0",1.78571428571429,"3.1",0.765306122448979,NA,NA,"1.10",0.48469387755102,"4.21",1.55612244897959,"2.20",1.16836734693878,NA,NA,"0.35",0.147959183673469,"0.93",0.173469387755102
100267,"13.0",2.04081632653061,"2.5",0.86734693877551,NA,NA,"1.11",0.48469387755102,"3.40",1.63265306122449,"2.15",1.1530612244898,NA,NA,"0.42",0.147959183673469,"0.85",0.183673469387755
100268,"13.1",2.04081632653061,"2.4",0.969387755102041,NA,NA,NA,NA,"3.41",1.62755102040816,"2.20",1.16836734693878,NA,NA,"0.35",0.147959183673469,"0.94",0.198979591836735
100269,"13.8",1.88775510204082,"3.3",1.22448979591837,NA,NA,"1.10",0.48469387755102,"3.78",1.58163265306122,"2.20",1.16836734693878,"126.03",23.3061224489796,"0.39",0.142857142857143,"0.98",0.183673469387755
100275,"15.3",2.14285714285714,"2.8",0.918367346938775,NA,NA,"1.09",0.48469387755102,"4.68",1.54081632653061,"2.19",1.16326530612245,"123.83",23.1581632653061,"0.46",0.147959183673469,"1.08",0.173469387755102
100276,"13.5",2.5,"2.7",0.969387755102041,NA,NA,"1.11",0.48469387755102,"4.04",1.63775510204082,"2.20",1.16326530612245,NA,NA,"0.41",0.147959183673469,"1.10",0.183673469387755
100277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.40",0.153061224489796,"1.00",0.209183673469388
100281,"11.6",1.73469387755102,"3.5",1.07142857142857,NA,NA,"1.22",0.464285714285714,"6.63",1.39795918367347,"2.08",1.13265306122449,"114.62",20.8112244897959,"0.42",0.137755102040816,"1.43",0.153061224489796
100284,NA,NA,NA,NA,NA,NA,"1.12",0.48469387755102,"3.94",1.75510204081633,NA,NA,NA,NA,"0.37",0.147959183673469,"0.98",0.198979591836735
100285,NA,NA,"3.0",1.07142857142857,NA,NA,"1.11",0.489795918367347,"4.52",1.72959183673469,"2.21",1.16836734693878,NA,NA,"0.38",0.153061224489796,"0.93",0.193877551020408
100286,"17.3",1.88775510204082,"2.3",0.408163265306123,NA,NA,"1.16",0.454081632653061,"3.17",1.19897959183673,"2.02",1.11734693877551,"127.89",21.015306122449,"0.35",0.137755102040816,"0.87",0.13265306122449
100287,"15.6",2.04081632653061,"3.0",0.969387755102041,NA,NA,"1.09",0.48469387755102,"4.31",1.39795918367347,"2.09",1.13775510204082,"135.18",22.2397959183673,"0.46",0.142857142857143,"1.04",0.173469387755102
100288,"21.5",1.93877551020408,"2.0",0.76530612244898,NA,NA,"1.11",0.489795918367347,"4.38",1.58673469387755,"2.23",1.1734693877551,NA,NA,"0.36",0.147959183673469,"0.93",0.193877551020408
100289,"13.1",1.93877551020408,"2.2",0.510204081632653,"2.6",1.58163265306122,"1.24",0.38265306122449,"4.49",1.15816326530612,"2.87",1.07142857142857,"117.38",19.4336734693878,"0.37",0.137755102040816,"1.23",0.107142857142857
100290,"15.0",1.53061224489796,"2.8",0.816326530612245,NA,NA,"1.01",0.464285714285714,"4.61",1.21428571428571,"1.97",1.10204081632653,"166.58",20.6836734693878,"0.45",0.122448979591837,"1.12",0.137755102040816
100291,"15.3",2.75510204081633,"3.9",1.1734693877551,NA,NA,"1.08",0.48469387755102,"4.46",1.5969387755102,"2.21",1.16836734693878,NA,NA,"0.36",0.153061224489796,"1.15",0.173469387755102
100292,"13.8",2.24489795918367,"2.0",0.612244897959184,NA,NA,"1.09",0.479591836734694,"3.45",1.51020408163265,"2.20",1.16326530612245,NA,NA,"0.41",0.153061224489796,"1.00",0.163265306122449
100296,"13.8",2.19387755102041,"2.0",0.612244897959184,NA,NA,"1.11",0.48469387755102,"4.77",1.55102040816327,"2.77",1.15816326530612,NA,NA,"0.42",0.147959183673469,"1.10",0.173469387755102
100299,"14.1",2.14285714285714,"2.4",0.663265306122449,NA,NA,"1.10",0.48469387755102,"4.04",1.52551020408163,"2.21",1.16326530612245,NA,NA,"0.36",0.147959183673469,"1.03",0.173469387755102
100302,"14.9",2.60204081632653,NA,NA,NA,NA,NA,NA,"4.55",1.73469387755102,"2.20",1.16836734693878,NA,NA,"0.37",0.153061224489796,"0.94",0.198979591836735
100307,"13.7",2.29591836734694,"2.3",0.510204081632653,NA,NA,"1.05",0.474489795918367,"3.82",1.31122448979592,"2.19",1.16326530612245,"144.24",22.8979591836735,"0.39",0.142857142857143,"0.90",0.142857142857143
100313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.40",0.153061224489796,"0.99",0.209183673469388
100314,"14.3",2.09183673469388,NA,NA,NA,NA,"1.11",0.489795918367347,"4.78",1.6530612244898,"2.19",1.16326530612245,NA,NA,"0.37",0.147959183673469,"1.07",0.188775510204082
100315,"11.6",2.04081632653061,"3.2",0.714285714285714,NA,NA,"1.09",0.479591836734694,"5.81",1.47448979591837,"2.17",1.15816326530612,NA,NA,"0.37",0.147959183673469,"1.09",0.173469387755102
100316,"13.6",2.29591836734694,"2.5",0.76530612244898,NA,NA,"1.10",0.489795918367347,"3.91",1.61224489795918,"2.20",1.16836734693878,NA,NA,"0.35",0.147959183673469,"0.90",0.183673469387755
100319,"14.1",2.6530612244898,"2.1",0.663265306122449,NA,NA,"1.31",0.489795918367347,"3.07",1.54591836734694,"2.19",1.16326530612245,NA,NA,"0.42",0.153061224489796,"1.04",0.178571428571429
100320,NA,NA,NA,NA,NA,NA,NA,NA,"4.22",1.81632653061225,NA,NA,NA,NA,"0.45",0.153061224489796,"0.98",0.204081632653061
100321,"13.3",2.5,"4.7",1.12244897959184,NA,NA,"1.10",0.48469387755102,"5.09",1.60714285714286,"2.21",1.1734693877551,NA,NA,"0.36",0.147959183673469,"1.04",0.178571428571429
100322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.40",0.153061224489796,"1.00",0.209183673469388
101300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101312,NA,NA,"2.6",1.07142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110001,"15.1",1.78571428571429,"2.7",0.816326530612245,NA,NA,"1.06",0.474489795918367,"3.58",1.43367346938775,"2.10",1.13775510204082,"158.91",22.4744897959184,"0.42",0.142857142857143,"0.93",0.158163265306122
110002,"15.0",2.6530612244898,"3.1",1.22448979591837,NA,NA,NA,NA,"3.66",1.68877551020408,"2.20",1.16326530612245,NA,NA,"0.43",0.153061224489796,"0.95",0.204081632653061
110003,"14.5",2.19387755102041,"3.4",1.02040816326531,NA,NA,"1.30",0.479591836734694,"5.00",1.59183673469388,"2.19",1.16326530612245,NA,NA,"0.47",0.147959183673469,"1.29",0.178571428571429
110005,"16.7",1.78571428571429,"3.5",0.714285714285715,NA,NA,"1.41",0.464285714285714,"3.36",1.30612244897959,"2.07",1.13265306122449,"147.64",20.7091836734694,"0.42",0.137755102040816,"1.18",0.142857142857143
110006,"17.3",2.14285714285714,"2.7",0.510204081632653,NA,NA,"1.06",0.474489795918367,"3.34",1.30102040816327,"2.13",1.14795918367347,NA,NA,"0.44",0.147959183673469,"1.13",0.153061224489796
110007,"16.1",1.68367346938775,"2.9",0.714285714285714,"4.5",1.63265306122449,"1.92",0.459183673469388,"4.48",1.19387755102041,"2.02",1.11224489795918,"159.38",17.8112244897959,"0.43",0.13265306122449,"1.08",0.137755102040816
110008,"16.4",2.3469387755102,"3.6",1.02040816326531,NA,NA,"1.07",0.474489795918367,"3.91",1.5,"2.11",1.14285714285714,"145.80",23.9081632653061,"0.35",0.147959183673469,"1.15",0.163265306122449
110010,"16.5",1.78571428571429,"2.4",0.459183673469388,"2.6",1.12244897959184,"1.38",0.341836734693878,"5.34",0.841836734693878,"1.77",1.04591836734694,"101.13",16.2908163265306,"0.39",0.122448979591837,"0.98",0.0816326530612245
110011,"18.9",2.3469387755102,"2.2",0.663265306122449,NA,NA,"1.05",0.469387755102041,"3.77",1.37755102040816,"3.29",1.14795918367347,"126.24",23.3622448979592,"0.43",0.137755102040816,"1.16",0.153061224489796
110015,"14.0",2.29591836734694,NA,NA,NA,NA,NA,NA,"4.16",1.80102040816327,NA,NA,NA,NA,"0.38",0.158163265306122,"1.11",0.198979591836735
110016,"14.4",2.04081632653061,"2.5",0.969387755102041,NA,NA,"1.06",0.474489795918367,"5.83",1.54081632653061,"2.19",1.16326530612245,"137.90",22.5102040816327,"0.40",0.147959183673469,"0.92",0.168367346938776
110018,"17.5",2.5,"2.9",0.918367346938776,NA,NA,"1.32",0.48469387755102,"4.81",1.66326530612245,"2.21",1.1734693877551,NA,NA,"0.37",0.147959183673469,"0.99",0.183673469387755
110023,"12.7",2.6530612244898,"3.0",1.02040816326531,NA,NA,"1.12",0.48469387755102,"3.51",1.6530612244898,"2.19",1.16836734693878,NA,NA,"0.37",0.153061224489796,"0.91",0.193877551020408
110024,"14.1",2.04081632653061,"3.0",1.22448979591837,NA,NA,"1.03",0.469387755102041,"4.43",1.41836734693878,"1.97",1.10714285714286,"127.35",21.3316326530612,"0.39",0.142857142857143,"1.19",0.153061224489796
110025,"14.8",1.98979591836735,"3.5",0.76530612244898,NA,NA,"0.98",0.459183673469388,"6.15",1.30612244897959,"2.67",1.13265306122449,"140.57",21.7244897959184,"0.36",0.137755102040816,"1.03",0.147959183673469
110026,"15.5",2.3469387755102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.45",0.158163265306122,"1.00",0.209183673469388
110027,"14.6",2.3469387755102,NA,NA,NA,NA,"1.11",0.489795918367347,"4.05",1.77551020408163,"2.22",1.1734693877551,NA,NA,"0.39",0.153061224489796,"1.01",0.193877551020408
110028,"14.5",1.42857142857143,"2.0",0.408163265306122,"4.8",1.83673469387755,"1.78",0.403061224489796,"2.17",1.05102040816327,"1.93",1.09183673469388,"174.49",18.3316326530612,"0.32",0.122448979591837,"0.92",0.107142857142857
110029,"13.5",1.3265306122449,"1.7",0.408163265306122,"2.7",0.969387755102041,"0.71",0.387755102040816,"4.79",0.903061224489796,"2.28",1.05102040816327,"157.46",17.1479591836735,"0.45",0.122448979591837,"1.11",0.102040816326531
110030,"16.9",2.44897959183674,"2.9",0.918367346938776,NA,NA,"1.06",0.479591836734694,"3.47",1.51530612244898,"2.18",1.15816326530612,"143.88",22.0357142857143,"0.41",0.147959183673469,"1.19",0.168367346938776
