"providers","HAI_1_CI_LOWER","HAI_1_CI_UPPER","HAI_3_CI_LOWER","HAI_3_CI_UPPER","HAI_5_CI_LOWER","HAI_5_CI_UPPER"
60001,"0.439","2.251","0.254","1.932","0.028","2.752"
60003,NA,"1.001","0.197","3.880",NA,NA
60004,NA,NA,"0.396","4.233",NA,NA
60006,NA,NA,NA,NA,NA,NA
60008,NA,NA,NA,NA,NA,NA
60009,"0.009","0.927","0.379","2.291","0.100","1.961"
60010,NA,"0.616","0.074","1.457",NA,"1.450"
60011,"0.560","1.677","1.164","4.085","0.124","1.326"
60012,"0.368","3.942","0.497","5.323","0.032","3.147"
60013,"0.047","4.627",NA,NA,NA,NA
60014,"0.338","1.187","0.129","2.543","0.135","1.445"
60015,"0.206","1.057","0.281","2.134","0.017","1.641"
60016,NA,NA,NA,NA,NA,NA
60020,"1.007","2.898","0.117","1.257","0.549","2.818"
60022,"0.217","0.984","0.438","1.791","0.532","2.407"
60023,"0.157","1.188","0.171","1.830","0.353","2.678"
60024,"0.427","0.990","0.887","2.250","0.372","1.168"
60027,"0.012","1.189","0.958","4.915","0.043","4.219"
60028,"0.182","1.102","0.451","2.041","0.156","1.667"
60030,NA,"2.923","0.034","3.346",NA,NA
60031,"0.173","1.046","0.251","1.520","0.176","1.886"
60032,"0.345","2.617","0.401","2.424","0.159","3.124"
60034,"0.452","1.699","0.765","2.401","0.780","2.936"
60043,NA,NA,NA,NA,NA,NA
60044,NA,NA,NA,NA,NA,NA
60049,NA,NA,NA,NA,NA,NA
60054,NA,NA,NA,"2.738",NA,NA
60064,"0.057","1.127",NA,"2.507","0.023","2.309"
60065,NA,"1.348","0.687","5.215",NA,"2.658"
60071,NA,NA,"0.043","4.219",NA,NA
60075,NA,NA,NA,NA,NA,NA
60076,NA,NA,NA,NA,NA,NA
60096,NA,NA,NA,NA,NA,NA
60100,"0.034","0.670","0.013","1.253","0.085","1.677"
60103,NA,NA,"0.048","4.684",NA,NA
60104,"0.694","4.200","0.209","4.120",NA,NA
60107,NA,NA,NA,NA,NA,NA
60112,"0.066","1.294","0.403","2.066","0.016","1.573"
60113,"0.781","4.009","0.532","4.035",NA,"1.603"
60114,"0.135","2.660","0.090","1.783",NA,NA
60116,"0.404","3.067","1.037","3.638","0.026","2.536"
60117,NA,NA,NA,NA,NA,NA
60118,NA,NA,NA,NA,NA,NA
60119,"0.007","0.652","0.872","3.567",NA,"1.464"
60124,NA,NA,NA,NA,NA,NA
60125,NA,NA,NA,NA,NA,NA
60126,NA,NA,NA,NA,NA,NA
60127,NA,NA,NA,NA,NA,NA
61302,NA,NA,NA,NA,NA,NA
61303,NA,NA,NA,NA,NA,NA
61308,NA,NA,NA,NA,NA,NA
61309,NA,NA,NA,NA,NA,NA
61311,NA,NA,NA,NA,NA,NA
61312,NA,NA,NA,NA,NA,NA
61313,NA,NA,NA,NA,NA,NA
61316,NA,NA,NA,NA,NA,NA
61317,NA,NA,NA,NA,NA,NA
61318,NA,NA,NA,NA,NA,NA
61321,NA,NA,NA,NA,NA,NA
61322,NA,NA,NA,NA,NA,NA
61323,NA,NA,NA,NA,NA,NA
61324,NA,NA,NA,NA,NA,NA
61325,NA,NA,NA,NA,NA,NA
61326,NA,NA,NA,NA,NA,NA
61327,NA,NA,NA,NA,NA,NA
61328,NA,NA,NA,NA,NA,NA
70002,"0.365","1.281","0.230","1.391","0.521","1.961"
70003,NA,NA,"1.220","9.260",NA,NA
70004,NA,NA,NA,NA,NA,NA
70005,"0.680","2.557","0.362","2.751","0.487","3.698"
70006,"0.054","1.071","0.241","2.583",NA,"1.150"
70007,"0.011","1.079","0.022","2.127","0.172","3.385"
70008,NA,NA,NA,NA,NA,NA
70010,"0.506","1.405","0.806","3.294","0.713","2.684"
70011,"0.120","2.358","0.038","3.725",NA,NA
70012,NA,NA,NA,NA,NA,NA
70016,"0.347","2.633","0.020","1.947","0.178","3.502"
70017,"0.403","4.313","0.584","3.534","0.292","5.746"
70018,"0.093","1.828","1.110","4.178","0.022","2.173"
70019,NA,"2.376",NA,NA,NA,NA
70020,"0.119","2.340","0.464","2.806",NA,"1.484"
70021,NA,NA,NA,NA,NA,NA
70022,"0.852","1.414","1.009","2.152","1.053","2.135"
70024,"0.075","1.470","0.482","2.916","0.165","3.258"
70025,"0.781","1.622","0.281","1.149","0.576","1.500"
70027,"0.149","2.943","1.193","6.123",NA,"2.063"
70028,"0.184","1.969","0.148","2.915","0.326","2.473"
70029,"0.026","2.590",NA,"2.387",NA,NA
70031,NA,"2.449",NA,"2.607",NA,NA
70033,"0.415","2.129","0.232","1.762","0.013","1.243"
70034,"0.082","1.620","0.020","1.948","0.134","2.651"
70035,"0.469","1.919","0.239","1.818","0.687","3.527"
70036,"1.051","4.297","0.723","4.372",NA,"1.984"
70039,NA,NA,NA,NA,NA,NA
70040,NA,NA,NA,NA,NA,NA
80001,"0.842","1.555","0.428","1.188","0.772","1.755"
80003,NA,"1.368",NA,NA,NA,NA
80004,"0.009","0.865","0.695","3.146","0.247","1.872"
80006,"0.241","4.754","0.048","4.729",NA,NA
80007,"0.399","2.416","0.095","1.870","0.014","1.428"
80009,NA,"2.517","1.706","10.319",NA,NA
90001,"1.219","2.348","0.008","0.760","0.740","2.128"
90003,"2.363","5.990",NA,NA,"0.023","2.224"
90004,"0.414","1.242","0.190","2.029","0.368","1.384"
90005,NA,"0.944","0.365","2.773",NA,"1.177"
90006,"1.237","4.088",NA,"2.832","0.029","2.846"
90008,"0.024","2.326",NA,NA,"2.915","9.637"
90011,"0.617","1.200","1.108","2.477","0.879","1.875"
100001,"0.661","1.723","0.487","2.204","1.443","3.226"
100002,"0.226","1.158",NA,"0.487","0.686","2.406"
100006,"0.274","0.713","0.447","1.241","0.668","1.652"
100007,"0.394","0.723","0.155","0.430","0.561","1.080"
100008,"0.719","1.636","0.738","2.211","0.406","1.835"
100009,"0.450","1.296","0.365","2.206","0.600","2.256"
100012,"0.197","0.741","0.604","2.471","0.231","1.184"
100014,"0.021","2.114","0.046","4.521","0.045","4.459"
100017,"0.856","2.231","0.341","1.750","0.310","1.592"
100018,"0.153","0.924","0.187","1.422","0.658","2.977"
100019,"0.198","2.119","0.458","1.872","0.779","2.335"
100022,"0.343","0.629","0.372","1.683","1.736","2.871"
100023,"0.583","3.528",NA,"1.237","0.024","2.409"
100025,"0.192","0.869","0.749","2.475","0.345","1.772"
100026,"1.731","3.938","0.081","1.603","1.054","3.306"
100028,"0.073","1.441",NA,"1.578","1.805","8.164"
100029,"0.873","2.344","0.026","2.551","0.709","2.487"
100030,"0.856","4.394",NA,NA,"0.913","5.522"
100032,"0.319","1.120","0.468","3.551","0.456","2.339"
100034,"0.350","1.156","0.659","2.695","0.265","1.358"
100035,"0.787","2.761","0.878","3.304","0.583","2.635"
100038,"0.481","1.027","0.041","0.799","0.258","1.165"
100039,"0.176","0.618","0.821","3.358","0.534","1.675"
100040,"0.185","0.835","0.185","1.408","0.423","1.730"
100043,NA,"2.591",NA,NA,NA,"1.765"
100044,"0.006","0.570","0.715","2.244","0.805","3.029"
100045,NA,"0.765",NA,"1.402","0.033","3.209"
100046,"0.097","1.905","0.261","2.789",NA,"2.285"
100047,"1.207","7.301",NA,NA,NA,"2.637"
100048,NA,NA,NA,NA,NA,NA
100049,NA,NA,NA,"2.359",NA,NA
100050,NA,NA,NA,NA,NA,NA
100051,"0.274","2.927","0.682","5.176","0.038","3.700"
100052,"0.284","1.286","0.574","2.943","0.011","1.091"
100053,"0.187","3.689","0.017","1.715",NA,NA
100054,NA,NA,NA,NA,NA,NA
100055,NA,"2.585",NA,NA,NA,"2.881"
100057,NA,"0.520","0.201","2.152","0.016","1.626"
100062,"0.595","1.784","0.185","1.403","0.256","1.946"
100063,"0.058","1.141",NA,"1.651","0.125","2.466"
100067,"0.326","1.229","0.473","2.138","0.187","1.417"
100068,"0.235","1.781","0.011","1.127","0.691","3.124"
100069,NA,"1.628","0.172","3.396",NA,NA
100070,"0.260","2.777","0.241","2.582","0.031","3.061"
100071,"0.777","5.898",NA,"2.670","1.097","6.636"
100072,"0.477","3.625","0.017","1.641","0.117","2.306"
100073,"0.414","1.694","0.295","3.160","0.725","2.964"
100075,"0.446","0.952","0.506","1.518","0.438","1.447"
100077,NA,"0.588","0.031","3.075",NA,"1.846"
100080,"1.109","2.333","0.330","1.998","0.829","2.226"
100081,NA,NA,NA,NA,NA,NA
100084,"0.299","2.268","0.572","2.938","1.045","4.271"
100086,"0.043","0.854","0.017","1.646","0.376","2.276"
100087,"0.542","1.623","0.420","1.579","0.517","1.816"
100088,"1.013","1.775","1.396","3.234","0.527","1.850"
100090,"0.250","1.510","0.235","2.516",NA,"0.789"
100092,"0.323","1.953","0.154","3.037","0.992","5.090"
100093,"0.234","1.773","0.247","1.873","0.956","4.904"
100099,"0.035","3.444","0.040","3.905",NA,NA
100102,NA,NA,NA,NA,NA,NA
100105,"0.013","1.263","0.009","0.913","0.024","2.369"
100106,NA,NA,NA,NA,NA,NA
100107,NA,NA,NA,NA,NA,NA
100109,"0.413","2.501","0.018","1.804","0.128","2.517"
100110,"0.353","1.328",NA,"0.954","0.240","1.819"
100113,"0.821","1.342","0.903","2.289","0.543","1.213"
100117,"0.019","1.843","0.340","3.634","0.032","3.186"
100118,"0.026","2.603","0.016","1.595","0.031","3.026"
100121,NA,NA,"0.040","3.952",NA,NA
100122,NA,"2.969","0.327","6.440",NA,NA
100124,NA,NA,NA,NA,NA,NA
100125,"1.179","4.823","0.811","6.153","1.073","8.142"
100126,"0.662","2.706",NA,"1.523","0.456","4.874"
100127,"0.256","0.802","0.965","2.777","0.284","1.719"
100128,"0.866","1.420","0.662","2.078","0.906","1.746"
100130,NA,NA,NA,NA,NA,NA
100131,"0.478","1.501","0.074","1.450","0.231","1.397"
100132,"0.104","2.055","0.207","4.084",NA,"2.649"
100135,"0.491","1.473","0.509","1.916","0.049","0.968"
100137,"0.388","4.147","0.211","4.156","0.206","4.061"
100140,NA,NA,"0.734","5.571",NA,NA
100142,NA,NA,NA,NA,NA,NA
100150,"0.292","5.761","0.044","4.292",NA,NA
100151,"0.903","2.134","0.275","1.411","0.300","1.817"
100154,"0.550","1.931","0.487","2.499",NA,"0.873"
100156,NA,NA,"0.169","3.332",NA,NA
100157,"1.065","2.343","0.810","2.176","0.561","1.856"
100161,"0.507","2.600","0.117","2.307","0.336","3.600"
100166,"0.348","3.721",NA,"1.174","0.034","3.355"
100167,"1.043","2.894","0.007","0.728","0.276","2.092"
100168,"0.174","0.785","0.296","1.518","0.921","2.761"
100173,"0.148","0.896","0.434","2.227","0.383","1.442"
100175,NA,NA,NA,NA,NA,NA
100176,"0.010","0.995","0.037","3.670",NA,"1.056"
100177,NA,NA,"0.025","2.471","0.481","5.151"
100179,"1.501","2.978","0.312","1.889","0.719","2.706"
100180,"0.138","2.729","0.019","1.847","0.030","2.934"
100181,"0.783","4.734",NA,NA,"0.309","6.096"
100183,NA,NA,NA,"1.949","0.035","3.427"
100187,"0.112","0.850","0.293","3.133","0.062","1.231"
100189,"0.017","1.687",NA,"0.930","0.140","2.756"
100191,"0.169","1.808","0.168","1.799","0.318","2.417"
100200,"0.523","3.972",NA,"0.834","0.634","6.787"
100204,"1.203","3.135","0.396","1.790","1.133","3.554"
100206,"1.069","6.470","0.238","4.690",NA,NA
100209,"2.870","5.754","0.224","2.395","0.792","2.982"
100211,NA,NA,NA,NA,NA,NA
100212,"0.467","1.640","0.010","1.018","0.151","1.621"
100213,"1.221","4.035","1.197","4.896","1.307","4.587"
100217,NA,"2.273","0.147","2.889",NA,NA
100220,"0.176","1.885","0.721","2.076","0.394","2.386"
100223,"0.499","3.020","0.431","4.615","0.020","1.966"
100224,"0.975","3.986",NA,NA,"0.585","4.438"
100226,"0.529","1.991","0.016","1.601","0.380","2.300"
100228,"0.239","1.446","0.012","1.198","0.329","2.495"
100230,NA,"1.095","0.019","1.840","0.483","5.168"
100231,"0.250","1.896","0.632","3.242","0.547","4.150"
100232,"0.700","5.313",NA,NA,NA,NA
100236,"0.543","2.219","0.012","1.180","0.089","1.761"
100238,"0.250","1.282","0.026","2.571","0.072","1.413"
100240,NA,NA,NA,NA,NA,NA
100242,"0.475","1.787","0.102","2.003","0.900","4.617"
100243,"0.457","1.868","0.225","1.711","0.156","1.671"
100244,"0.488","2.951","0.079","1.557","0.093","1.833"
100246,"0.375","1.535","0.015","1.505","0.296","1.792"
100248,"0.978","2.547","0.280","2.124","1.046","3.670"
100249,"0.322","6.354","0.146","2.882",NA,NA
100252,"0.983","5.046","0.037","3.637",NA,NA
100253,"0.012","1.159",NA,"0.680",NA,"2.726"
100254,NA,"1.237","0.086","1.696","0.031","3.086"
100255,"0.033","3.270",NA,NA,NA,NA
100256,"0.425","1.493",NA,"1.157","0.708","2.664"
100258,"0.040","0.795","0.013","1.284","0.919","3.223"
100259,"0.577","6.176","0.218","4.299",NA,"2.297"
100260,"0.057","1.128",NA,"1.487","0.156","3.082"
100264,"0.394","1.610","0.481","2.466","1.163","4.080"
100265,"0.354","1.601","0.142","1.516","0.319","2.425"
100266,"0.048","4.720","0.196","3.862",NA,NA
100267,NA,NA,NA,"1.586",NA,NA
100268,NA,"0.820",NA,NA,"0.025","2.505"
100269,"0.091","0.972","0.018","1.821","0.327","3.500"
100275,"0.972","3.976","0.211","2.256","0.017","1.649"
100276,"1.147","4.025","0.838","3.788",NA,"1.216"
100277,NA,NA,NA,NA,NA,NA
100281,"0.078","0.832","0.046","0.914","0.192","1.457"
100284,"0.880","6.682",NA,NA,"0.330","6.510"
100285,NA,"1.345","0.125","2.466",NA,"1.897"
100286,NA,"0.503","0.360","2.177","0.024","2.369"
100287,"0.083","1.626","0.232","2.479","0.847","5.124"
100288,"1.036","2.315",NA,NA,"0.320","1.933"
100289,"0.759","2.664","0.538","1.548",NA,"1.826"
100290,"0.282","2.140","0.064","1.268","0.745","3.821"
100291,NA,NA,NA,NA,NA,"2.157"
100292,"0.321","6.323",NA,"2.472",NA,NA
100296,"0.678","4.103","0.260","5.130","1.050","7.974"
100299,NA,"2.294","0.035","3.406",NA,NA
100302,"0.034","3.373",NA,NA,"0.244","4.799"
100307,"0.197","2.107","0.214","2.290","0.027","2.664"
100313,NA,NA,NA,NA,NA,NA
100314,"1.115","5.044","0.366","2.213","0.024","2.377"
100315,NA,NA,"0.020","1.993",NA,NA
100316,NA,NA,NA,"1.753",NA,"1.988"
100319,"0.027","2.685","0.024","2.320",NA,"2.869"
100320,NA,NA,NA,NA,NA,NA
100321,NA,"1.991","0.029","2.823",NA,NA
100322,NA,NA,NA,NA,NA,NA
101300,NA,NA,NA,NA,NA,NA
101301,NA,NA,NA,NA,NA,NA
101308,NA,NA,NA,NA,NA,NA
101309,NA,NA,NA,NA,NA,NA
101310,NA,NA,NA,NA,NA,NA
101311,NA,NA,NA,NA,NA,NA
101313,NA,NA,NA,NA,NA,NA
110001,"1.302","4.568","0.020","1.970","0.157","3.096"
110002,NA,NA,NA,"2.283",NA,NA
110003,"0.089","1.759",NA,NA,"0.038","3.753"
110005,"0.006","0.553","0.327","1.679","0.014","1.361"
110006,"0.833","4.274",NA,"0.915","0.328","3.509"
110007,"0.497","1.335","0.008","0.797","0.954","2.859"
110008,"0.012","1.183","0.619","2.329","0.238","4.696"
110010,"1.040","1.767","0.953","2.644","0.827","1.848"
110011,"0.334","2.534","0.096","1.898","0.697","5.293"
110015,NA,NA,NA,NA,NA,NA
110016,"0.605","4.592","0.021","2.025","0.037","3.605"
110018,NA,"1.780","0.040","3.930",NA,"2.837"
110023,NA,NA,NA,"2.048",NA,NA
110024,"0.715","1.862","0.646","2.641","0.017","1.697"
110025,"0.402","1.820","0.250","2.671","1.014","4.585"
110026,NA,NA,NA,NA,NA,NA
110027,NA,NA,NA,NA,NA,NA
110028,"0.439","1.378","0.267","1.372","0.121","1.292"
110029,"0.194","0.682","0.358","1.348","0.246","1.261"
110030,"0.287","3.068","0.231","4.548","0.031","3.026"
110031,"0.512","3.099","0.188","3.710","1.143","6.914"
110032,NA,"2.771",NA,NA,NA,NA
110034,"1.345","2.307","1.614","4.478","0.556","1.838"
110035,"0.289","0.866","0.296","1.211","0.128","0.776"
110036,"0.786","1.655","0.543","1.795","0.688","2.062"
110038,"1.102","2.794",NA,"2.296","0.092","1.808"
110039,NA,"2.326",NA,NA,NA,NA
110040,NA,NA,NA,NA,NA,NA
110041,NA,NA,NA,NA,NA,NA
110042,"0.034","3.341","0.256","5.040",NA,NA
110043,"0.070","0.754",NA,"1.210","0.097","1.906"
110044,NA,NA,NA,NA,NA,NA
110045,NA,NA,NA,NA,NA,NA
110046,NA,NA,NA,NA,NA,NA
110050,NA,NA,NA,NA,NA,NA
110051,NA,NA,NA,NA,NA,NA
110054,"0.414","1.694","0.889","3.345","0.277","2.104"
110064,"0.254","1.039","0.392","4.196","0.007","0.738"
110069,"0.325","1.670","0.016","1.586","0.422","3.203"
110071,NA,NA,NA,NA,NA,NA
110073,NA,NA,NA,NA,NA,NA
110074,"0.005","0.535","0.179","1.359","0.009","0.904"
110075,"0.132","2.610","0.031","3.073","0.668","7.150"
110076,"0.339","1.388","0.320","1.939","0.730","2.983"
110078,"0.990","1.985","0.307","1.859","0.465","1.630"
110079,"1.227","2.117","0.561","1.970","0.581","1.561"
110082,"0.297","1.527","0.596","2.242","0.069","1.363"
110083,"1.035","2.033","0.690","1.798","0.646","2.026"
110086,NA,NA,NA,NA,NA,NA
110087,"0.401","1.202","0.776","2.327","0.444","1.816"
110089,NA,"2.089",NA,NA,NA,NA
110091,"0.245","1.860","0.352","3.764","1.110","6.717"
110092,NA,NA,NA,NA,NA,NA
110095,"1.049","5.384","0.014","1.418","0.022","2.176"
110100,NA,NA,NA,NA,NA,NA
110101,NA,NA,NA,NA,NA,NA
110104,"1.743","10.545",NA,NA,NA,NA
110105,"0.111","2.197",NA,NA,NA,"2.818"
110107,"0.504","1.108","1.537","3.801","0.440","1.267"
110109,NA,NA,NA,NA,NA,NA
110111,NA,NA,NA,NA,NA,NA
110113,NA,NA,NA,NA,NA,NA
110115,"0.963","2.190",NA,"1.408","0.874","3.068"
110121,NA,NA,NA,NA,NA,NA
110122,"0.032","0.634","0.013","1.318","0.103","2.021"
110124,NA,NA,NA,NA,NA,NA
110125,"0.721","5.476",NA,NA,"0.044","4.319"
110128,NA,NA,"0.426","4.559",NA,NA
110129,"0.348","1.573","0.385","2.919","0.121","2.385"
110130,NA,NA,NA,NA,NA,NA
110132,NA,NA,NA,NA,NA,NA
110135,NA,NA,NA,NA,NA,NA
110142,NA,NA,NA,NA,NA,NA
110143,"0.734","2.200","0.148","1.584","0.453","2.740"
110146,NA,NA,NA,NA,NA,NA
110150,"0.040","3.942",NA,NA,NA,NA
110153,NA,NA,NA,NA,NA,NA
110161,"0.218","0.987","0.237","0.830","0.323","1.460"
110164,"0.561","1.968","0.108","2.126","1.139","4.657"
110165,NA,"0.815",NA,NA,"1.036","5.317"
110168,"1.505","4.512","0.017","1.648","0.676","3.467"
110177,"2.877","4.488",NA,"1.629","2.408","7.217"
110184,"0.111","2.184","0.155","3.049",NA,"1.870"
110187,NA,NA,NA,NA,NA,NA
110189,NA,NA,NA,"2.897",NA,NA
110190,NA,NA,NA,NA,NA,NA
110191,"0.926","3.061","0.339","2.050","0.549","4.168"
110192,"0.145","1.556","0.499","5.336","0.393","2.984"
110194,NA,NA,NA,NA,NA,NA
110198,"0.088","1.743",NA,NA,"0.036","3.571"
110200,NA,NA,NA,"2.906",NA,NA
110201,NA,NA,NA,NA,NA,NA
110209,NA,NA,NA,NA,NA,NA
110215,"0.006","0.560","0.332","1.702","0.232","2.481"
110225,NA,NA,NA,NA,NA,NA
110226,"0.509","5.443",NA,NA,"0.046","4.529"
110229,"0.323","2.451","1.092","6.605","0.181","3.574"
110230,"0.110","2.176","0.015","1.516",NA,"2.183"
110233,NA,NA,"0.550","2.247",NA,NA
110234,NA,NA,NA,NA,NA,NA
110236,NA,NA,NA,NA,NA,NA
111302,NA,NA,NA,NA,NA,NA
111306,NA,NA,NA,NA,NA,NA
111310,NA,NA,NA,NA,NA,NA
111313,NA,NA,NA,NA,NA,NA
111318,NA,NA,NA,NA,NA,NA
111319,NA,NA,NA,NA,NA,NA
111320,NA,NA,NA,NA,NA,NA
111323,NA,NA,NA,NA,NA,NA
111329,NA,NA,NA,NA,NA,NA
111330,NA,NA,NA,NA,NA,NA
111334,NA,NA,NA,NA,NA,NA
111335,NA,NA,NA,NA,NA,NA
111336,NA,NA,NA,NA,NA,NA
120001,"0.169","0.636","1.111","2.895","0.194","0.995"
120002,"0.150","1.602","0.126","2.474","0.095","1.876"
120004,NA,NA,NA,NA,NA,NA
120005,NA,"0.875",NA,"2.368","0.032","3.190"
120006,"0.076","1.497",NA,NA,NA,"1.992"
120007,"0.203","2.176",NA,"2.276","0.042","4.100"
120011,"0.003","0.298","0.252","1.916","0.068","1.333"
120014,"0.317","6.246","0.041","4.076",NA,NA
120019,NA,"2.239",NA,NA,NA,"2.869"
120022,NA,"0.581","0.107","2.115","0.022","2.160"
120026,"0.115","2.269","0.023","2.276","0.140","2.765"
120028,NA,NA,NA,NA,NA,NA
121300,NA,NA,NA,NA,NA,NA
121304,NA,NA,NA,NA,NA,NA
121306,NA,NA,NA,NA,NA,NA
130002,"0.018","1.748","0.021","2.075",NA,"2.317"
130003,"0.350","3.749","0.444","4.750",NA,NA
130006,"0.360","1.190","0.490","1.845","0.228","1.731"
130007,"0.288","1.301","0.102","1.088","0.008","0.758"
130013,NA,"0.888",NA,"1.917",NA,NA
130014,NA,NA,NA,NA,NA,NA
130018,"0.007","0.653","0.119","2.348",NA,"0.945"
130025,NA,NA,NA,NA,NA,NA
130028,"0.066","1.306","0.124","2.450",NA,"2.005"
130049,NA,"0.293","0.444","2.686","0.012","1.170"
130063,NA,NA,NA,NA,NA,NA
130065,NA,NA,"0.045","4.435",NA,NA
130066,NA,NA,NA,NA,NA,NA
130067,NA,NA,NA,NA,NA,NA
131302,NA,NA,NA,NA,NA,NA
131310,NA,NA,NA,NA,NA,NA
131313,NA,NA,NA,NA,NA,NA
131317,NA,NA,NA,NA,NA,NA
131325,NA,NA,NA,NA,NA,NA
131326,NA,NA,NA,NA,NA,NA
131328,NA,NA,NA,NA,NA,NA
140001,NA,NA,NA,NA,NA,NA
140002,NA,"2.015",NA,"1.907",NA,NA
140007,"0.532","1.866","0.512","3.098","0.163","1.236"
140008,NA,"1.000",NA,"2.509","0.217","4.271"
140010,"0.290","0.908","0.755","2.496","0.104","1.110"
140011,NA,"1.431",NA,NA,NA,"2.328"
140012,NA,NA,NA,NA,NA,NA
140013,NA,NA,NA,NA,NA,NA
140015,"0.007","0.660","0.106","2.096","0.276","2.951"
140018,"0.368","1.666","0.101","1.998","0.013","1.283"
140019,NA,NA,NA,NA,NA,NA
140029,"0.008","0.751","0.099","1.954","0.019","1.888"
140030,"0.240","1.453",NA,"0.588","0.021","2.118"
140032,NA,NA,NA,NA,NA,NA
140034,NA,NA,NA,NA,NA,NA
140040,NA,NA,NA,NA,NA,NA
140043,NA,"2.399","0.448","4.797",NA,NA
140046,"0.260","2.785","0.025","2.512",NA,"2.464"
140048,"0.209","4.112",NA,"2.031","0.264","5.211"
140049,"0.216","2.316","0.219","4.308",NA,"1.545"
140052,NA,"2.282",NA,NA,NA,NA
140053,"0.088","0.668",NA,"1.070","0.182","1.380"
140054,"0.455","3.457","0.106","2.085","0.027","2.612"
140058,NA,NA,NA,NA,NA,NA
140059,NA,NA,NA,NA,NA,NA
140062,"0.012","1.157","0.076","1.496","0.158","1.692"
140063,NA,NA,"0.615","6.579",NA,NA
140064,NA,NA,NA,NA,NA,NA
140065,"0.222","2.376","0.120","2.373","0.249","4.902"
140067,"0.597","1.313","0.393","1.477","0.382","1.340"
140068,NA,NA,NA,NA,NA,NA
140077,NA,NA,NA,NA,NA,NA
140080,"0.119","2.336",NA,"2.451",NA,"1.962"
140082,"0.198","2.119","0.292","5.746","0.028","2.805"
140083,NA,NA,NA,NA,NA,NA
140084,"0.378","2.868",NA,"2.353",NA,"1.858"
140088,"0.516","0.954","0.252","1.141","0.049","0.520"
140089,NA,NA,NA,NA,NA,NA
140091,"0.292","1.194","1.219","3.508","0.423","1.731"
140093,"0.028","2.805",NA,NA,NA,NA
140095,NA,"2.507",NA,NA,NA,NA
140100,"0.158","3.121","0.561","2.539",NA,NA
140101,"0.036","3.520",NA,NA,NA,NA
140103,"0.600","6.424",NA,NA,"0.039","3.877"
140110,NA,NA,NA,"1.988",NA,NA
140113,"0.409","4.371","0.048","4.742","0.257","5.071"
140114,"0.692","3.131","0.885","5.351","0.253","2.704"
140115,"0.046","4.562",NA,NA,NA,NA
140116,"0.010","1.006","0.018","1.803","0.020","1.986"
140117,"0.245","1.479","0.014","1.368","0.259","1.963"
140118,NA,"2.187","0.038","3.714","0.036","3.513"
140119,"0.438","0.995","1.111","3.331","0.187","1.422"
140120,NA,NA,NA,NA,NA,NA
140122,"0.253","1.530","0.131","2.577","0.018","1.811"
140124,"0.306","1.072","0.124","1.325","0.340","1.745"
140125,NA,"1.950",NA,NA,"0.048","4.751"
140127,NA,"1.712","0.180","3.547","0.034","3.387"
140130,"0.027","2.660",NA,"1.863",NA,NA
140133,"0.333","3.564",NA,NA,"0.332","3.548"
140135,"0.139","2.749","0.441","3.346","0.033","3.221"
140137,NA,NA,NA,NA,NA,NA
140143,NA,NA,NA,NA,NA,NA
140145,NA,NA,NA,NA,NA,NA
140147,NA,NA,NA,NA,NA,NA
140148,"0.513","1.301","0.841","2.334","0.470","1.648"
140150,"0.606","1.463","0.114","2.248","0.324","1.466"
140155,"0.410","4.385","0.525","5.615","0.253","4.983"
140158,"0.948","3.877","0.185","3.649","0.118","2.322"
140160,NA,NA,"0.043","4.244",NA,NA
140161,NA,NA,NA,NA,NA,NA
140162,"0.037","3.670","0.877","5.308",NA,NA
140164,"0.064","1.259","0.016","1.599","0.406","4.341"
140166,"0.026","2.567","0.439","4.692",NA,"2.359"
140167,NA,NA,NA,NA,NA,NA
140172,"0.205","2.194","0.016","1.600","0.346","3.699"
140174,NA,"1.150","0.367","3.923","0.247","4.869"
140176,"0.042","4.093","0.674","5.119",NA,NA
140177,NA,"1.809",NA,NA,NA,NA
140179,"0.856","2.686","0.652","4.948","0.018","1.746"
140180,"0.116","2.295","0.020","2.006","0.334","2.532"
140181,"1.210","7.320",NA,NA,"1.043","7.922"
140182,"0.176","1.339","0.152","1.627","0.013","1.272"
140184,NA,NA,NA,NA,NA,NA
140185,NA,"0.536","0.423","3.211","0.125","2.471"
140186,"0.017","1.640",NA,"1.207","0.017","1.634"
140187,"0.018","1.778",NA,"1.807",NA,"1.583"
140189,"0.025","2.505","0.184","3.629","0.624","6.676"
140191,"0.477","1.952","0.757","4.578","0.022","2.213"
140197,NA,NA,NA,NA,NA,NA
140200,NA,"0.408",NA,"2.239","0.022","2.168"
140202,"0.118","1.265","0.087","1.722",NA,"0.973"
140206,NA,"1.611",NA,NA,"0.187","3.679"
140208,"0.315","0.703","0.066","0.701","0.329","1.346"
140209,"0.594","3.047",NA,"0.897","0.796","4.814"
140210,NA,NA,NA,NA,NA,NA
140211,"0.116","2.281","0.477","2.885",NA,"2.823"
140213,"0.610","2.757","0.009","0.915","0.017","1.693"
140217,"0.108","2.134",NA,NA,NA,NA
140223,"0.892","1.931","0.320","1.644","0.175","1.327"
140224,"0.006","0.621","0.029","2.831","0.186","3.673"
140228,"0.009","0.843",NA,"1.037","0.125","2.468"
140231,"0.074","0.788","0.474","1.940","0.324","2.458"
140233,"0.512","2.095","0.674","3.457","0.608","4.614"
140234,NA,NA,NA,NA,NA,NA
