"Provider.Number","MORT.30.AMI.Achievement.Threshold","MORT.30.AMI.Benchmark","MORT.30.AMI.Baseline.Rate","MORT.30.AMI.Performance.Rate","MORT.30.AMI.Achievement.Points","MORT.30.AMI.Improvement.Points","MORT.30.AMI.Measure.Score","MORT.30.HF.Achievement.Threshold","MORT.30.HF.Benchmark","MORT.30.HF.Baseline.Rate","MORT.30.HF.Performance.Rate","MORT.30.HF.Achievement.Points","MORT.30.HF.Improvement.Points","MORT.30.HF.Measure.Score","MORT.30.PN.Achievement.Threshold","MORT.30.PN.Benchmark","MORT.30.PN.Baseline.Rate","MORT.30.PN.Performance.Rate","MORT.30.PN.Achievement.Points","MORT.30.PN.Improvement.Points","MORT.30.PN.Measure.Score","PSI.90.Achievement.Threshold","PSI.90.Benchmark","PSI.90.Baseline.Rate","PSI.90.Performance.Rate","PSI.90.Achievement.Points","PSI.90.Improvement.Points","PSI.90.Measure.Score","HAI.1.Achievement.Threshold","HAI.1.Benchmark","HAI.1.Baseline.Rate","HAI.1.Performance.Rate","HAI.1.Achievement.Points","HAI.1.Improvement.Points","HAI.1.Measure.Score","HAI.2.Achievement.Threshold","HAI.2.Benchmark","HAI.2.Baseline.Rate","HAI.2.Performance.Rate","HAI.2.Achievement.Points","HAI.2.Improvement.Points","HAI.2.Measure.Score","Combined.SSI.Measure.Score","HAI.3.Achievement.Threshold","HAI.3.Benchmark","HAI.3.Baseline.Rate","HAI.3.Performance.Rate","HAI.3.Achievement.Points","HAI.3.Improvement.Points","HAI.3.Measure.Score","HAI.4.Achievement.Threshold","HAI.4.Benchmark","HAI.4.Baseline.Rate","HAI.4.Performance.Rate","HAI.4.Achievement.Points","HAI.4.Improvement.Points","HAI.4.Measure.Score","HAI.5.Achievement.Threshold","HAI.5.Benchmark","HAI.5.Baseline.Rate","HAI.5.Performance.Rate","HAI.5.Achievement.Points","HAI.5.Improvement.Points","HAI.5.Measure.Score","HAI.6.Achievement.Threshold","HAI.6.Benchmark","HAI.6.Baseline.Rate","HAI.6.Performance.Rate","HAI.6.Achievement.Points","HAI.6.Improvement.Points","HAI.6.Measure.Score","PC.01.Achievement.Threshold","PC.01.Benchmark","PC.01.Baseline.Rate","PC.01.Performance.Rate","PC.01.Achievement.Points","PC.01.Improvement.Points","PC.01.Measure.Score"
60125,0.850916,0.873053,"Not Available","0.866283","Not Available","Not Available","Not Available",0.883421,0.907656,"Not Available","0.879800","0 out of 10","Not Available","0 out of 10",0.88286,0.9079,"Not Available","0.884191","1 out of 10","Not Available","1 out of 10",0.964542,0.709498,"Not Available","0.630280","10 out of 10","Not Available","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","0 out of 10",0.824,0,"Not Available","1.730","0 out of 10","Not Available","0 out of 10",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.558","0.830","0 out of 10","0 out of 9","0 out of 10",0.020408,0,"0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
60126,0.850916,0.873053,"Not Available","Not Available","Not Available","Not Available","Not Available",0.883421,0.907656,"Not Available","0.875321","Not Available","Not Available","Not Available",0.88286,0.9079,"Not Available","0.889519","Not Available","Not Available","Not Available",0.964542,0.709498,"Not Available","0.640103","10 out of 10","Not Available","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"Not Available","0.000","10 out of 10","Not Available","10 out of 10",0.020408,0,"Not Available","0.000000","10 out of 10","Not Available","10 out of 10"
70002,0.850916,0.873053,"0.860302","0.880398","10 out of 10","9 out of 9","10 out of 10",0.883421,0.907656,"0.907059","0.904174","8 out of 10","0 out of 9","8 out of 10",0.88286,0.9079,"0.871816","0.900980","7 out of 10","8 out of 9","8 out of 10",0.964542,0.709498,"0.892338","0.640704","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.450","0.677","0 out of 10","0 out of 9","0 out of 10",0.906,0,"2.361","0.266","7 out of 10","8 out of 9","8 out of 10","0 out of 10",0.824,0,"1.179","1.218","0 out of 10","0 out of 9","0 out of 10",0.71,0,"0.414","1.041","0 out of 10","0 out of 9","0 out of 10",0.767,0,"0.434","0.599","2 out of 10","0 out of 9","2 out of 10",0.805,0.004,"1.248","0.761","1 out of 10","3 out of 9","3 out of 10",0.020408,0,"0.032258","0.019608","1 out of 10","3 out of 9","3 out of 10"
70003,0.850916,0.873053,"0.838756","0.858344","4 out of 10","5 out of 9","5 out of 10",0.883421,0.907656,"0.871048","0.883901","1 out of 10","3 out of 9","3 out of 10",0.88286,0.9079,"0.869835","0.885235","1 out of 10","4 out of 9","4 out of 10",0.964542,0.709498,"0.771491","0.963681","1 out of 10","0 out of 9","1 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"1.896","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.345","0.705","2 out of 10","0 out of 9","2 out of 10",0.020408,0,"0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
70004,0.850916,0.873053,"0.845893","0.868068","7 out of 10","8 out of 9","8 out of 10",0.883421,0.907656,"0.879302","0.857678","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.858453","0.897292","6 out of 10","7 out of 9","7 out of 10",0.964542,0.709498,"0.908853","0.744977","8 out of 10","8 out of 9","8 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.528","0.000","10 out of 10","9 out of 9","10 out of 10",0.020408,0,"0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
70005,0.850916,0.873053,"0.882297","0.866488","7 out of 10","0 out of 9","7 out of 10",0.883421,0.907656,"0.877096","0.881661","0 out of 10","1 out of 9","1 out of 10",0.88286,0.9079,"0.879384","0.879255","0 out of 10","0 out of 9","0 out of 10",0.964542,0.709498,"0.960408","0.727837","9 out of 10","9 out of 9","9 out of 10",0.369,0,"0.236","0.651","0 out of 10","0 out of 9","0 out of 10",0.906,0,"0.476","0.950","0 out of 10","0 out of 9","0 out of 10","3 out of 10",0.824,0,"1.371","0.891","0 out of 10","3 out of 9","3 out of 10",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"0.526","0.962","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"0.871","0.583","3 out of 10","3 out of 9","3 out of 10",0.020408,0,"0.061224","0.020408","0 out of 10","6 out of 9","6 out of 10"
70006,0.850916,0.873053,"0.868932","0.850659","0 out of 10","0 out of 9","0 out of 10",0.883421,0.907656,"0.872679","0.883727","1 out of 10","3 out of 9","3 out of 10",0.88286,0.9079,"0.894540","0.912411","10 out of 10","9 out of 9","10 out of 10",0.964542,0.709498,"1.404315","0.858806","4 out of 10","7 out of 9","7 out of 10",0.369,0,"0.418","0.719","0 out of 10","0 out of 9","0 out of 10",0.906,0,"0.308","0.909","0 out of 10","0 out of 9","0 out of 10","3 out of 10",0.824,0,"1.441","0.853","0 out of 10","4 out of 9","4 out of 10",0.71,0,"1.693","1.830","0 out of 10","0 out of 9","0 out of 10",0.767,0,"0.457","0.000","10 out of 10","9 out of 9","10 out of 10",0.805,0.004,"1.024","0.907","0 out of 10","1 out of 9","1 out of 10",0.020408,0,"0.000000","0.036145","0 out of 10","0 out of 9","0 out of 10"
70007,0.850916,0.873053,"0.856708","0.864827","6 out of 10","4 out of 9","6 out of 10",0.883421,0.907656,"0.866168","0.885495","1 out of 10","4 out of 9","4 out of 10",0.88286,0.9079,"0.873983","0.908546","10 out of 10","9 out of 9","10 out of 10",0.964542,0.709498,"0.876568","0.552712","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.262","0.000","10 out of 10","9 out of 9","10 out of 10",0.906,0,"0.915","0.857","1 out of 10","0 out of 9","1 out of 10","10 out of 10",0.824,0,"2.327","0.000","10 out of 10","9 out of 9","10 out of 10",0.71,0,"0.908","Not Available","Not Available","Not Available","Not Available",0.767,0,"1.483","1.016","0 out of 10","3 out of 9","3 out of 10",0.805,0.004,"1.412","1.500","0 out of 10","0 out of 9","0 out of 10",0.020408,0,"0.024038","0.046875","0 out of 10","0 out of 9","0 out of 10"
70008,0.850916,0.873053,"0.836746","0.874830","10 out of 10","9 out of 9","10 out of 10",0.883421,0.907656,"0.873654","0.895632","5 out of 10","6 out of 9","6 out of 10",0.88286,0.9079,"0.892785","0.902294","7 out of 10","6 out of 9","7 out of 10",0.964542,0.709498,"0.876561","0.811997","6 out of 10","3 out of 9","6 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"1.380","1.163","0 out of 10","1 out of 9","1 out of 10",0.020408,0,"0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
70010,0.850916,0.873053,"0.866185","0.894386","10 out of 10","9 out of 9","10 out of 10",0.883421,0.907656,"0.897176","0.903273","8 out of 10","5 out of 9","8 out of 10",0.88286,0.9079,"0.894520","0.917136","10 out of 10","9 out of 9","10 out of 10",0.964542,0.709498,"1.443506","0.796976","6 out of 10","8 out of 9","8 out of 10",0.369,0,"0.515","0.270","3 out of 10","4 out of 9","4 out of 10",0.906,0,"1.392","0.433","5 out of 10","6 out of 9","6 out of 10","3 out of 10",0.824,0,"2.436","1.659","0 out of 10","3 out of 9","3 out of 10",0.71,0,"2.257","1.762","0 out of 10","2 out of 9","2 out of 10",0.767,0,"1.412","1.587","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"1.650","1.117","0 out of 10","3 out of 9","3 out of 10",0.020408,0,"0.090909","0.000000","10 out of 10","9 out of 9","10 out of 10"
70011,0.850916,0.873053,"0.834858","0.879695","10 out of 10","9 out of 9","10 out of 10",0.883421,0.907656,"0.874546","0.869183","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.887546","0.887757","2 out of 10","0 out of 9","2 out of 10",0.964542,0.709498,"0.727484","0.687679","10 out of 10","9 out of 9","10 out of 10",0.369,0,"2.036","1.706","0 out of 10","1 out of 9","1 out of 10",0.906,0,"1.929","0.912","0 out of 10","5 out of 9","5 out of 10","2 out of 10",0.824,0,"2.918","2.157","0 out of 10","2 out of 9","2 out of 10",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"0.649","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"1.557","1.442","0 out of 10","0 out of 9","0 out of 10",0.020408,0,"0.000000","0.024390","0 out of 10","0 out of 9","0 out of 10"
70012,0.850916,0.873053,"0.849099","0.867342","Not Available","Not Available","Not Available",0.883421,0.907656,"0.889806","0.899169","6 out of 10","5 out of 9","6 out of 10",0.88286,0.9079,"0.897773","0.879873","0 out of 10","0 out of 9","0 out of 10",0.964542,0.709498,"1.110981","0.791896","7 out of 10","7 out of 9","7 out of 10",0.369,0,"0.000","Not Available","Not Available","Not Available","Not Available",0.906,0,"0.665","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.669","1.231","0 out of 10","0 out of 9","0 out of 10",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
