"Provider.Number","MORT.30.AMI.Achievement.Threshold","MORT.30.AMI.Benchmark","MORT.30.AMI.Baseline.Rate","MORT.30.AMI.Performance.Rate","MORT.30.AMI.Achievement.Points","MORT.30.AMI.Improvement.Points","MORT.30.AMI.Measure.Score","MORT.30.HF.Achievement.Threshold","MORT.30.HF.Benchmark","MORT.30.HF.Baseline.Rate","MORT.30.HF.Performance.Rate","MORT.30.HF.Achievement.Points","MORT.30.HF.Improvement.Points","MORT.30.HF.Measure.Score","MORT.30.PN.Achievement.Threshold","MORT.30.PN.Benchmark","MORT.30.PN.Baseline.Rate","MORT.30.PN.Performance.Rate","MORT.30.PN.Achievement.Points","MORT.30.PN.Improvement.Points","MORT.30.PN.Measure.Score","PSI.90.Achievement.Threshold","PSI.90.Benchmark","PSI.90.Baseline.Rate","PSI.90.Performance.Rate","PSI.90.Achievement.Points","PSI.90.Improvement.Points","PSI.90.Measure.Score","HAI.1.Achievement.Threshold","HAI.1.Benchmark","HAI.1.Baseline.Rate","HAI.1.Performance.Rate","HAI.1.Achievement.Points","HAI.1.Improvement.Points","HAI.1.Measure.Score","HAI.2.Achievement.Threshold","HAI.2.Benchmark","HAI.2.Baseline.Rate","HAI.2.Performance.Rate","HAI.2.Achievement.Points","HAI.2.Improvement.Points","HAI.2.Measure.Score","Combined.SSI.Measure.Score","HAI.3.Achievement.Threshold","HAI.3.Benchmark","HAI.3.Baseline.Rate","HAI.3.Performance.Rate","HAI.3.Achievement.Points","HAI.3.Improvement.Points","HAI.3.Measure.Score","HAI.4.Achievement.Threshold","HAI.4.Benchmark","HAI.4.Baseline.Rate","HAI.4.Performance.Rate","HAI.4.Achievement.Points","HAI.4.Improvement.Points","HAI.4.Measure.Score","HAI.5.Achievement.Threshold","HAI.5.Benchmark","HAI.5.Baseline.Rate","HAI.5.Performance.Rate","HAI.5.Achievement.Points","HAI.5.Improvement.Points","HAI.5.Measure.Score","HAI.6.Achievement.Threshold","HAI.6.Benchmark","HAI.6.Baseline.Rate","HAI.6.Performance.Rate","HAI.6.Achievement.Points","HAI.6.Improvement.Points","HAI.6.Measure.Score","PC.01.Achievement.Threshold","PC.01.Benchmark","PC.01.Baseline.Rate","PC.01.Performance.Rate","PC.01.Achievement.Points","PC.01.Improvement.Points","PC.01.Measure.Score"
10001,0.850916,0.873053,"0.850186","0.866270","7 out of 10","7 out of 9","7 out of 10",0.883421,0.907656,"0.888060","0.885519","1 out of 10","0 out of 9","1 out of 10",0.88286,0.9079,"0.877181","0.893777","4 out of 10","5 out of 9","5 out of 10",0.964542,0.709498,"1.009846","0.656456","10 out of 10","9 out of 9","10 out of 10",0.369,0,"2.952","0.884","0 out of 10","7 out of 9","7 out of 10",0.906,0,"3.645","0.361","6 out of 10","9 out of 9","9 out of 10","7 out of 10",0.824,0,"0.664","0.367","5 out of 10","4 out of 9","5 out of 10",0.71,0,"Not Available","0.000","10 out of 10","Not Available","10 out of 10",0.767,0,"1.198","1.070","0 out of 10","1 out of 9","1 out of 10",0.805,0.004,"1.126","0.334","6 out of 10","7 out of 9","7 out of 10",0.020408,0,"0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
10005,0.850916,0.873053,"0.836946","0.857280","3 out of 10","5 out of 9","5 out of 10",0.883421,0.907656,"0.853765","0.845956","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.858520","0.851953","0 out of 10","0 out of 9","0 out of 10",0.964542,0.709498,"0.798330","0.726932","9 out of 10","8 out of 9","9 out of 10",0.369,0,"3.063","0.000","10 out of 10","9 out of 9","10 out of 10",0.906,0,"0.522","0.503","5 out of 10","0 out of 9","5 out of 10","10 out of 10",0.824,0,"0.325","0.000","10 out of 10","9 out of 9","10 out of 10",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"1.243","0.525","3 out of 10","5 out of 9","5 out of 10",0.805,0.004,"0.316","0.055","9 out of 10","8 out of 9","9 out of 10",0.020408,0,"0.295858","0.021739","0 out of 10","9 out of 9","9 out of 10"
10006,0.850916,0.873053,"0.818278","0.843841","0 out of 10","4 out of 9","4 out of 10",0.883421,0.907656,"0.884408","0.865407","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.848835","0.872522","0 out of 10","4 out of 9","4 out of 10",0.964542,0.709498,"1.253606","0.665941","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.233","0.950","0 out of 10","0 out of 9","0 out of 10",0.906,0,"0.179","0.860","1 out of 10","0 out of 9","1 out of 10","7 out of 10",0.824,0,"1.905","0.386","5 out of 10","7 out of 9","7 out of 10",0.71,0,"0.852","Not Available","Not Available","Not Available","Not Available",0.767,0,"1.701","2.106","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"0.708","0.435","5 out of 10","3 out of 9","5 out of 10",0.020408,0,"0.027027","0.000000","10 out of 10","9 out of 9","10 out of 10"
10007,0.850916,0.873053,"0.843930","0.867181","7 out of 10","Not Available","7 out of 10",0.883421,0.907656,"0.863976","0.854747","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.836245","0.849107","0 out of 10","1 out of 9","1 out of 10",0.964542,0.709498,"1.101822","0.582838","10 out of 10","9 out of 9","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.000","Not Available","Not Available","Not Available","Not Available",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
10011,0.850916,0.873053,"0.834080","0.863407","6 out of 10","7 out of 9","7 out of 10",0.883421,0.907656,"0.889867","0.873002","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.823954","0.883768","1 out of 10","7 out of 9","7 out of 10",0.964542,0.709498,"0.864237","0.814336","6 out of 10","3 out of 9","6 out of 10",0.369,0,"0.466","0.921","0 out of 10","0 out of 9","0 out of 10",0.906,0,"0.567","0.563","4 out of 10","0 out of 9","4 out of 10","4 out of 10",0.824,0,"0.649","0.517","4 out of 10","2 out of 9","4 out of 10",0.71,0,"1.596","2.768","0 out of 10","0 out of 9","0 out of 10",0.767,0,"0.926","0.584","3 out of 10","3 out of 9","3 out of 10",0.805,0.004,"0.858","0.590","3 out of 10","3 out of 9","3 out of 10",0.020408,0,"0.058824","0.000000","10 out of 10","9 out of 9","10 out of 10"
10012,0.850916,0.873053,"0.840641","0.842346","0 out of 10","0 out of 9","0 out of 10",0.883421,0.907656,"0.840398","0.868469","0 out of 10","4 out of 9","4 out of 10",0.88286,0.9079,"0.843534","0.834758","0 out of 10","0 out of 9","0 out of 10",0.964542,0.709498,"1.010369","0.577837","10 out of 10","9 out of 9","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.392","0.536","4 out of 10","0 out of 9","4 out of 10",0.020408,0,"0.202703","0.122449","0 out of 10","3 out of 9","3 out of 10"
10016,0.850916,0.873053,"0.854265","0.839738","0 out of 10","0 out of 9","0 out of 10",0.883421,0.907656,"0.871128","0.871120","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.859767","0.906255","9 out of 10","9 out of 9","9 out of 10",0.964542,0.709498,"0.974042","0.512905","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.436","0.361","1 out of 10","1 out of 9","1 out of 10",0.906,0,"0.649","0.418","5 out of 10","3 out of 9","5 out of 10","10 out of 10",0.824,0,"0.489","0.000","10 out of 10","9 out of 9","10 out of 10",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"1.127","1.041","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"0.641","0.458","4 out of 10","2 out of 9","4 out of 10",0.020408,0,"0.076923","0.000000","10 out of 10","9 out of 9","10 out of 10"
10019,0.850916,0.873053,"0.835137","0.857433","3 out of 10","5 out of 9","5 out of 10",0.883421,0.907656,"0.875727","0.864715","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.854612","0.889920","3 out of 10","6 out of 9","6 out of 10",0.964542,0.709498,"0.973823","0.809746","6 out of 10","6 out of 9","6 out of 10",0.369,0,"0.000","0.000","10 out of 10","0 out of 9","10 out of 10",0.906,0,"0.000","0.497","5 out of 10","0 out of 9","5 out of 10","4 out of 10",0.824,0,"0.443","0.515","4 out of 10","0 out of 9","4 out of 10",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"0.648","1.589","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"1.011","0.259","7 out of 10","7 out of 9","7 out of 10",0.020408,0,"0.092593","0.029412","0 out of 10","6 out of 9","6 out of 10"
10021,0.850916,0.873053,"0.837658","0.863527","Not Available","Not Available","Not Available",0.883421,0.907656,"0.887443","0.876979","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.888682","0.890432","3 out of 10","0 out of 9","3 out of 10",0.964542,0.709498,"0.884154","0.710052","9 out of 10","9 out of 9","9 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.372","0.000","10 out of 10","9 out of 9","10 out of 10",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
10022,0.850916,0.873053,"0.849462","0.863643","Not Available","Not Available","Not Available",0.883421,0.907656,"0.886973","0.870313","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.870644","0.881750","0 out of 10","2 out of 9","2 out of 10",0.964542,0.709498,"0.961293","0.623787","10 out of 10","9 out of 9","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.000","0.000","10 out of 10","0 out of 9","10 out of 10",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
10023,0.850916,0.873053,"0.824197","0.869442","8 out of 10","9 out of 9","9 out of 10",0.883421,0.907656,"0.898243","0.883788","1 out of 10","0 out of 9","1 out of 10",0.88286,0.9079,"0.855686","0.880721","0 out of 10","4 out of 9","4 out of 10",0.964542,0.709498,"0.867252","0.500269","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.469","0.381","0 out of 10","1 out of 9","1 out of 10",0.906,0,"0.517","0.747","2 out of 10","0 out of 9","2 out of 10","10 out of 10",0.824,0,"0.783","0.000","10 out of 10","9 out of 9","10 out of 10",0.71,0,"Not Available","0.000","10 out of 10","Not Available","10 out of 10",0.767,0,"2.667","1.256","0 out of 10","5 out of 9","5 out of 10",0.805,0.004,"0.783","1.085","0 out of 10","0 out of 9","0 out of 10",0.020408,0,"0.058394","0.026316","0 out of 10","5 out of 9","5 out of 10"
10024,0.850916,0.873053,"0.828536","0.855396","2 out of 10","6 out of 9","6 out of 10",0.883421,0.907656,"0.891959","0.882553","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.825506","0.850636","0 out of 10","3 out of 9","3 out of 10",0.964542,0.709498,"0.778524","0.474813","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.673","1.086","0 out of 10","0 out of 9","0 out of 10",0.906,0,"1.784","0.744","2 out of 10","5 out of 9","5 out of 10","0 out of 10",0.824,0,"0.910","1.536","0 out of 10","0 out of 9","0 out of 10",0.71,0,"0.000","1.296","0 out of 10","0 out of 9","0 out of 10",0.767,0,"0.566","1.477","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"1.776","1.151","0 out of 10","3 out of 9","3 out of 10",0.020408,0,"0.014851","0.000000","10 out of 10","9 out of 9","10 out of 10"
10029,0.850916,0.873053,"0.832919","0.830242","0 out of 10","0 out of 9","0 out of 10",0.883421,0.907656,"0.887514","0.874465","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.874136","0.880827","0 out of 10","1 out of 9","1 out of 10",0.964542,0.709498,"0.981328","0.463459","10 out of 10","9 out of 9","10 out of 10",0.369,0,"1.422","0.378","0 out of 10","7 out of 9","7 out of 10",0.906,0,"0.713","1.254","0 out of 10","0 out of 9","0 out of 10","7 out of 10",0.824,0,"0.680","0.000","10 out of 10","9 out of 9","10 out of 10",0.71,0,"0.000","0.573","2 out of 10","0 out of 9","2 out of 10",0.767,0,"1.948","2.227","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"0.604","0.524","4 out of 10","1 out of 9","4 out of 10",0.020408,0,"0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
10033,0.850916,0.873053,"0.848594","0.884452","10 out of 10","9 out of 9","10 out of 10",0.883421,0.907656,"0.877256","0.911588","10 out of 10","9 out of 9","10 out of 10",0.88286,0.9079,"0.873853","0.901316","7 out of 10","8 out of 9","8 out of 10",0.964542,0.709498,"1.152999","0.451897","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.626","0.359","1 out of 10","4 out of 9","4 out of 10",0.906,0,"1.309","0.198","8 out of 10","8 out of 9","8 out of 10","1 out of 10",0.824,0,"0.961","0.835","0 out of 10","1 out of 9","1 out of 10",0.71,0,"0.276","0.596","2 out of 10","0 out of 9","2 out of 10",0.767,0,"1.063","1.267","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"0.664","0.701","2 out of 10","0 out of 9","2 out of 10",0.020408,0,"0.000000","0.070175","0 out of 10","0 out of 9","0 out of 10"
10034,0.850916,0.873053,"0.845064","0.870679","Not Available","Not Available","Not Available",0.883421,0.907656,"0.881075","0.902331","8 out of 10","7 out of 9","8 out of 10",0.88286,0.9079,"0.882897","0.911354","10 out of 10","9 out of 9","10 out of 10",0.964542,0.709498,"0.901045","0.753128","8 out of 10","7 out of 9","8 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.791","1.068","0 out of 10","0 out of 9","0 out of 10",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
10035,0.850916,0.873053,"0.849041","0.854001","2 out of 10","2 out of 9","2 out of 10",0.883421,0.907656,"0.863830","0.877077","0 out of 10","3 out of 9","3 out of 10",0.88286,0.9079,"0.881617","0.885767","2 out of 10","1 out of 9","2 out of 10",0.964542,0.709498,"0.816085","0.511359","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.000","0.000","10 out of 10","0 out of 9","10 out of 10",0.906,0,"0.294","0.218","7 out of 10","2 out of 9","7 out of 10","6 out of 10",0.824,0,"1.517","0.489","4 out of 10","6 out of 9","6 out of 10",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"1.470","0.602","2 out of 10","5 out of 9","5 out of 10",0.805,0.004,"0.073","0.428","5 out of 10","0 out of 9","5 out of 10",0.020408,0,"0.253333","0.000000","10 out of 10","9 out of 9","10 out of 10"
10036,0.850916,0.873053,"0.851695","0.864570","6 out of 10","Not Available","6 out of 10",0.883421,0.907656,"0.882908","0.896970","6 out of 10","5 out of 9","6 out of 10",0.88286,0.9079,"0.885681","0.892425","4 out of 10","3 out of 9","4 out of 10",0.964542,0.709498,"0.959637","0.715664","9 out of 10","9 out of 9","9 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"0.698","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.703","0.545","3 out of 10","2 out of 9","3 out of 10",0.020408,0,"0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
10038,0.850916,0.873053,"0.837953","0.873113","10 out of 10","9 out of 9","10 out of 10",0.883421,0.907656,"0.877591","0.880068","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.879231","0.904418","8 out of 10","8 out of 9","8 out of 10",0.964542,0.709498,"0.909999","0.769551","7 out of 10","7 out of 9","7 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","0.000","10 out of 10","Not Available","10 out of 10","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.442","0.426","5 out of 10","0 out of 9","5 out of 10",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
10039,0.850916,0.873053,"0.850402","0.865832","7 out of 10","6 out of 9","7 out of 10",0.883421,0.907656,"0.876725","0.879032","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.873750","0.886499","2 out of 10","3 out of 9","3 out of 10",0.964542,0.709498,"0.981131","0.536296","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.875","0.648","0 out of 10","2 out of 9","2 out of 10",0.906,0,"0.878","0.674","3 out of 10","2 out of 9","3 out of 10","1 out of 10",0.824,0,"0.983","0.978","0 out of 10","0 out of 9","0 out of 10",0.71,0,"0.327","0.499","3 out of 10","0 out of 9","3 out of 10",0.767,0,"0.946","1.761","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"0.661","0.462","4 out of 10","3 out of 9","4 out of 10",0.020408,0,"0.048951","0.009434","5 out of 10","8 out of 9","8 out of 10"
10040,0.850916,0.873053,"0.835674","0.852059","1 out of 10","4 out of 9","4 out of 10",0.883421,0.907656,"0.889876","0.873248","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.846319","0.883248","1 out of 10","5 out of 9","5 out of 10",0.964542,0.709498,"0.913202","0.591306","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.099","0.102","7 out of 10","0 out of 9","7 out of 10",0.906,0,"0.310","0.259","7 out of 10","1 out of 9","7 out of 10","10 out of 10",0.824,0,"0.000","0.000","10 out of 10","0 out of 9","10 out of 10",0.71,0,"0.000","0.000","10 out of 10","0 out of 9","10 out of 10",0.767,0,"2.181","1.388","0 out of 10","3 out of 9","3 out of 10",0.805,0.004,"1.177","0.647","2 out of 10","4 out of 9","4 out of 10",0.020408,0,"0.021277","0.085714","0 out of 10","0 out of 9","0 out of 10"
10044,0.850916,0.873053,"0.845889","0.863115","Not Available","Not Available","Not Available",0.883421,0.907656,"0.883027","0.895535","5 out of 10","5 out of 9","5 out of 10",0.88286,0.9079,"0.915117","0.908403","10 out of 10","0 out of 9","10 out of 10",0.964542,0.709498,"0.951067","0.640331","10 out of 10","9 out of 9","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"Not Available","0.472","4 out of 10","Not Available","4 out of 10",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
10045,0.850916,0.873053,"0.836292","0.868908","Not Available","Not Available","Not Available",0.883421,0.907656,"0.892379","0.890223","3 out of 10","0 out of 9","3 out of 10",0.88286,0.9079,"0.866605","0.899943","7 out of 10","8 out of 9","8 out of 10",0.964542,0.709498,"1.126122","0.668005","10 out of 10","9 out of 9","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"1.772","1.573","0 out of 10","1 out of 9","1 out of 10",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
10046,0.850916,0.873053,"0.839223","0.871238","9 out of 10","9 out of 9","9 out of 10",0.883421,0.907656,"0.892853","0.902897","8 out of 10","6 out of 9","8 out of 10",0.88286,0.9079,"0.873022","0.897042","6 out of 10","6 out of 9","6 out of 10",0.964542,0.709498,"0.826197","0.528450","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.504","1.182","0 out of 10","0 out of 9","0 out of 10",0.906,0,"0.932","1.162","0 out of 10","0 out of 9","0 out of 10","10 out of 10",0.824,0,"0.000","0.000","10 out of 10","0 out of 9","10 out of 10",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"1.803","2.985","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"0.816","0.337","6 out of 10","5 out of 9","6 out of 10",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
10049,0.850916,0.873053,"0.837714","0.855694","Not Available","Not Available","Not Available",0.883421,0.907656,"0.864143","0.844986","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.866794","0.882217","0 out of 10","3 out of 9","3 out of 10",0.964542,0.709498,"1.033424","0.579667","10 out of 10","9 out of 9","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","10 out of 10",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"0.844","0.000","10 out of 10","9 out of 9","10 out of 10",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.241","0.243","7 out of 10","0 out of 9","7 out of 10",0.020408,0,"0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
10055,0.850916,0.873053,"0.865172","0.854175","2 out of 10","0 out of 9","2 out of 10",0.883421,0.907656,"0.869312","0.864826","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.887290","0.893585","4 out of 10","3 out of 9","4 out of 10",0.964542,0.709498,"0.835624","0.545334","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.291","0.000","10 out of 10","9 out of 9","10 out of 10",0.906,0,"1.410","0.515","4 out of 10","6 out of 9","6 out of 10","4 out of 10",0.824,0,"0.745","1.007","0 out of 10","0 out of 9","0 out of 10",0.71,0,"0.492","0.000","10 out of 10","9 out of 9","10 out of 10",0.767,0,"1.225","0.860","0 out of 10","2 out of 9","2 out of 10",0.805,0.004,"0.798","0.518","4 out of 10","3 out of 9","4 out of 10",0.020408,0,"0.021739","0.000000","10 out of 10","9 out of 9","10 out of 10"
10056,0.850916,0.873053,"0.853586","0.855168","2 out of 10","0 out of 9","2 out of 10",0.883421,0.907656,"0.885624","0.893341","4 out of 10","3 out of 9","4 out of 10",0.88286,0.9079,"0.861567","0.903756","8 out of 10","9 out of 9","9 out of 10",0.964542,0.709498,"0.792562","0.807414","6 out of 10","0 out of 9","6 out of 10",0.369,0,"0.352","0.771","0 out of 10","0 out of 9","0 out of 10",0.906,0,"0.478","0.715","2 out of 10","0 out of 9","2 out of 10","2 out of 10",0.824,0,"0.830","0.589","3 out of 10","2 out of 9","3 out of 10",0.71,0,"0.468","1.171","0 out of 10","0 out of 9","0 out of 10",0.767,0,"1.107","1.273","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"0.807","0.533","4 out of 10","3 out of 9","4 out of 10",0.020408,0,"0.052632","0.032787","0 out of 10","3 out of 9","3 out of 10"
10059,0.850916,0.873053,"0.844410","0.861554","Not Available","Not Available","Not Available",0.883421,0.907656,"0.895548","0.874999","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.903341","0.907079","9 out of 10","8 out of 9","9 out of 10",0.964542,0.709498,"0.968190","0.638857","10 out of 10","9 out of 9","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.810","1.082","0 out of 10","0 out of 9","0 out of 10",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
10061,0.850916,0.873053,"0.860171","0.864553","Not Available","Not Available","Not Available",0.883421,0.907656,"0.878210","0.874985","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.863025","0.884585","1 out of 10","4 out of 9","4 out of 10",0.964542,0.709498,"1.200581","0.624398","10 out of 10","9 out of 9","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.734","0.952","0 out of 10","0 out of 9","0 out of 10",0.020408,0,"0.093023","0.020408","0 out of 10","7 out of 9","7 out of 10"
10062,0.850916,0.873053,"0.841975","0.864482","Not Available","Not Available","Not Available",0.883421,0.907656,"0.872160","0.865816","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.861491","0.887264","2 out of 10","5 out of 9","5 out of 10",0.964542,0.709498,"0.925951","0.605410","10 out of 10","9 out of 9","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"1.024","0.000","10 out of 10","9 out of 9","10 out of 10",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
10065,0.850916,0.873053,"0.831540","0.863465","6 out of 10","7 out of 9","7 out of 10",0.883421,0.907656,"0.870698","0.867054","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.834842","0.875217","0 out of 10","5 out of 9","5 out of 10",0.964542,0.709498,"1.160636","0.779837","7 out of 10","8 out of 9","8 out of 10",0.369,0,"0.000","Not Available","Not Available","Not Available","Not Available",0.906,0,"0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.893","0.585","3 out of 10","3 out of 9","3 out of 10",0.020408,0,"0.020408","0.023529","0 out of 10","0 out of 9","0 out of 10"
